municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
56,16/12/1994,2020,4,62,48,M,F,21
33,,2020,3,,,M,F,13
16,17/01/1997,2020,4,63,44,M,F,16
29,,2020,2,,,,,1
21,23/03/1991,2020,3,,59,M,F,11
33,28/02/2020,2020,2,59,,M,F,28
21,17/03/1992,2020,1,50,,M,F,15
37,30/07/2011,2020,3,31,36,M,F,3
14,17/01/1988,2020,1,53,,M,F,20
47,27/11/2012,2020,4,26,23,M,F,17
31,10/05/2003,2020,3,,,M,F,18
11,22/06/2007,2020,3,,,M,F,17
38,,2020,4,,,,,8
32,18/11/2001,2020,1,45,45,M,F,20
63,02/02/1991,2020,3,51,52,M,F,28
18,16/06/1998,2020,3,43,41,M,F,19
30,16/07/1984,2020,4,61,51,M,F,29
48,28/08/1991,2020,3,46,45,M,F,13
47,17/04/1997,2020,4,49,39,M,F,30
30,27/06/2012,2020,4,36,36,M,F,30
8,14/10/1989,2020,5,52,45,M,F,1
49,05/12/2014,2020,4,31,28,M,F,13
40,11/01/2020,2020,1,44,45,M,F,11
53,20/01/2008,2020,3,35,31,M,F,23
30,08/10/1987,2020,3,,,M,F,10
27,02/10/1993,2020,3,53,51,M,F,16
18,19/06/1997,2020,3,43,40,M,F,17
55,02/04/2013,2020,5,53,48,M,F,6
18,07/03/2002,2020,5,82,49,M,F,6
45,14/05/1983,2020,2,61,,M,F,19
50,24/05/2008,2020,4,42,,M,F,28
60,21/08/1977,2020,1,72,,M,F,24
68,01/11/1987,2020,2,57,54,M,F,7
33,03/04/2000,2020,5,50,52,M,F,8
33,09/02/2001,2020,4,46,45,M,F,14
33,03/04/2000,2020,5,50,52,M,F,8
30,05/09/1996,2020,5,51,49,M,F,8
30,26/03/2004,2020,5,,,M,F,8
27,18/02/2004,2020,5,38,,M,F,11
46,17/07/1977,2020,1,61,57,M,F,22
47,06/12/1993,2020,5,54,46,M,F,14
42,,2020,3,,,,,13
42,24/09/1979,2020,3,17,,M,F,13
21,19/05/1978,2020,5,60,,M,F,19
21,17/04/1999,2020,5,43,,M,F,19
30,29/06/1987,2020,5,55,49,M,F,21
30,06/12/2012,2020,5,45,41,M,F,21
55,07/07/2017,2020,5,24,24,M,F,25
47,17/12/2012,2020,5,41,30,M,F,25
30,21/05/2005,2020,5,48,39,M,F,29
30,03/11/2011,2020,6,32,33,M,F,2
25,29/05/1997,2020,6,42,38,M,F,3
30,02/04/2018,2020,6,38,38,M,M,4
18,08/12/1992,2020,6,47,46,M,F,4
55,18/02/1982,2020,6,60,60,M,F,4
42,19/10/1990,2020,6,,,,,5
42,19/10/1990,2020,6,51,50,M,F,5
30,12/05/2014,2020,6,26,25,M,F,8
30,25/06/2015,2020,6,29,30,M,F,8
49,14/02/2014,2020,6,44,25,M,F,9
42,19/08/2000,2020,6,42,38,M,F,11
30,22/09/1992,2020,6,44,44,M,F,12
19,12/12/2016,2020,6,38,33,M,F,12
30,16/11/1985,2020,6,75,64,M,F,12
30,18/04/2007,2020,6,47,47,M,F,16
33,13/05/2000,2020,6,45,40,M,F,16
55,09/10/2004,2020,6,45,42,M,F,17
47,22/03/1998,2020,6,44,40,M,F,19
29,03/10/2014,2020,6,44,30,M,F,21
30,03/12/2004,2020,6,45,40,M,F,22
55,27/09/1999,2020,6,63,53,M,F,23
35,18/08/2016,2020,6,73,69,M,F,24
39,20/04/2012,2020,6,33,25,M,F,25
39,21/01/1981,2020,6,62,58,M,F,25
51,10/04/2002,2020,6,63,36,M,F,26
62,11/01/1991,2020,6,52,47,M,F,29
30,17/08/1999,2020,6,54,54,M,F,29
30,30/01/2004,2020,7,38,36,M,F,2
12,27/03/2009,2020,3,34,31,M,F,27
12,22/04/2017,2020,7,32,29,M,F,3
30,29/05/2003,2020,7,35,35,M,F,3
18,29/02/2008,2020,7,,28,M,F,6
29,10/09/2010,2020,7,,,M,F,6
26,19/10/1984,2020,3,63,62,M,F,12
18,08/03/2007,2020,7,33,33,M,F,8
19,13/07/2000,2020,7,44,43,M,F,8
30,23/11/1989,2020,7,65,48,M,F,9
29,10/09/2010,2020,7,,,M,F,9
30,21/01/2009,2020,7,29,30,M,F,9
27,25/05/1995,2020,7,47,42,M,F,9
43,21/09/2000,2020,7,56,51,M,F,10
26,22/01/2016,2020,7,54,47,M,F,10
29,23/12/2005,2020,7,43,35,M,F,12
29,09/12/2009,2020,7,38,34,M,F,12
25,12/02/2007,2020,7,53,53,M,F,13
18,04/12/2017,2020,7,39,25,M,F,14
26,18/05/1999,2020,7,72,68,M,F,15
42,08/08/1986,2020,7,55,54,M,F,17
18,18/05/1978,2020,7,61,60,M,F,17
42,17/12/2012,2020,7,52,37,M,F,20
30,07/10/1988,2020,7,65,51,M,F,20
30,21/12/1982,2020,7,68,59,M,F,20
30,16/04/1986,2020,7,54,52,M,F,20
30,30/10/2018,2020,7,38,45,M,F,21
27,26/11/2016,2020,7,25,31,M,F,22
33,08/11/1995,2020,7,47,43,M,F,22
43,11/08/2004,2020,7,40,41,M,F,23
30,20/06/2013,2020,7,34,33,M,F,23
33,18/03/2005,2020,7,37,35,M,F,23
33,16/12/1999,2020,7,64,45,M,F,24
27,31/08/2002,2020,7,37,37,M,F,25
18,21/12/1995,2020,8,43,44,M,F,5
47,26/02/1988,2020,7,53,51,M,F,28
30,16/02/2009,2020,7,40,36,M,F,28
30,03/09/1996,2020,7,48,44,M,F,29
30,,2020,7,57,57,M,F,29
4,08/08/1976,2020,7,62,59,M,F,29
30,15/08/2002,2020,7,46,38,M,F,30
30,16/02/2006,2020,7,35,35,M,F,30
30,26/06/2014,2020,8,37,35,M,F,3
25,01/03/1999,2020,8,47,40,M,F,3
47,16/08/2012,2020,8,28,28,M,F,3
27,08/12/2004,2020,8,37,33,M,F,4
30,15/12/2015,2020,8,43,34,M,F,4
55,08/08/2005,2020,8,36,31,M,F,4
25,09/01/1986,2020,8,52,54,M,F,4
55,29/05/2009,2020,8,37,31,M,F,4
21,18/01/2013,2020,8,30,30,M,F,5
18,21/11/2005,2020,8,46,39,M,F,5
27,13/11/2015,2020,8,25,25,M,F,5
55,09/03/2012,2020,8,28,24,M,F,6
30,06/04/1998,2020,8,48,47,M,F,6
18,11/09/1992,2020,8,65,52,M,F,6
55,24/04/2006,2020,8,39,34,M,F,6
17,12/03/2012,2020,3,34,29,M,F,18
30,13/06/2018,2020,8,55,52,M,F,7
18,24/06/1993,2020,8,52,52,M,F,7
18,15/12/2006,2020,8,57,59,M,F,7
71,30/09/2011,2020,8,27,27,M,F,7
