municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
42,11/08/2000,2016,1,35,34,M,F,15
29,21/01/1989,2016,4,48,44,M,F,29
29,05/03/2014,2016,4,38,36,M,F,27
55,24/08/2011,2016,2,43,46,M,F,25
41,16/12/1998,2016,5,44,45,M,F,13
35,,2016,10,,,M,F,25
36,03/02/1997,2016,1,,,M,F,12
2,04/04/2012,2016,7,25,28,M,F,14
29,25/01/2013,2016,7,26,23,M,F,1
30,28/06/2004,2016,4,51,42,M,F,7
66,15/02/2004,2016,9,44,32,M,F,30
42,20/11/2012,2016,12,32,32,M,F,1
1,,2016,8,,,M,F,27
42,,2016,4,31,26,M,F,12
18,,2016,1,,,M,F,28
30,,2016,5,36,26,M,F,13
30,,2016,2,33,32,M,F,25
30,18/08/1983,2016,9,63,60,M,F,20
29,,2016,1,47,28,M,F,8
18,,2016,8,,,M,F,10
32,,2016,9,49,45,M,F,8
30,14/12/1991,2016,4,,,M,F,12
29,02/10/1999,2016,10,35,38,M,F,11
29,,2016,6,56,41,M,F,10
18,,2016,9,50,48,M,F,1
30,,2016,6,,,M,F,29
36,,2016,11,29,25,M,F,4
36,,2016,11,,,,,4
30,,2016,8,37,32,M,F,11
30,,2016,8,,,,,11
35,,2016,11,33,37,M,F,10
72,08/03/2002,2016,7,42,34,M,F,1
43,07/09/2006,2016,4,44,49,M,F,15
30,,2016,4,36,41,M,F,6
30,06/05/1983,2016,8,61,58,M,F,29
30,08/04/1989,2016,3,48,48,M,F,4
41,15/06/2004,2016,9,33,30,M,F,22
30,,2016,12,,,M,F,7
18,16/08/1990,2016,1,53,44,M,F,27
71,26/12/1990,2016,9,52,46,M,F,14
23,30/08/2014,2016,6,24,23,M,F,16
18,09/01/2007,2016,7,,,M,F,26
30,27/11/1992,2016,1,57,54,M,F,20
55,24/01/2013,2016,12,23,34,M,F,2
18,,2016,7,52,47,M,F,4
18,,2016,7,38,28,M,F,6
16,28/09/1998,2016,12,46,43,M,F,6
55,29/01/2010,2016,11,27,27,M,F,16
26,15/07/2008,2016,12,32,26,M,F,20
30,10/12/2013,2016,10,70,43,M,F,18
41,14/07/2006,2016,2,38,37,M,F,25
3,17/02/2007,2016,11,58,45,M,F,1
58,03/05/2010,2016,4,28,25,M,F,8
30,01/12/2010,2016,1,37,26,M,F,19
29,07/03/1997,2016,6,,,M,F,14
1,19/12/1980,2016,7,59,63,M,F,22
30,12/05/2012,2016,7,37,35,M,F,5
43,28/03/2014,2016,12,21,22,M,F,14
2,,2016,11,35,33,M,F,1
3,15/05/2009,2016,11,31,31,M,F,17
19,03/07/2006,2016,8,37,30,M,F,18
42,12/12/1997,2016,1,41,40,M,F,5
29,16/06/2014,2016,1,31,21,M,F,12
49,13/12/1998,2016,1,42,37,M,F,10
30,29/08/2005,2016,11,45,43,M,F,4
29,03/07/2014,2016,3,42,33,M,F,29
26,14/09/2004,2016,8,36,36,M,F,8
30,16/02/1978,2016,7,,,M,F,13
55,30/03/2010,2016,4,36,44,M,F,18
2,07/03/2013,2016,4,21,22,M,F,20
35,04/08/2016,2016,8,30,30,M,F,4
29,28/10/2000,2016,11,37,36,M,F,2
18,12/02/2016,2016,2,43,42,M,F,12
26,17/03/2007,2016,2,36,37,M,F,4
35,01/06/2002,2016,1,35,30,M,F,13
18,08/10/1993,2016,5,45,44,M,F,11
71,08/12/1988,2016,8,56,,M,F,24
