municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
72,28/06/1987,2022,1,55,51,M,F,11
42,29/10/2018,2022,1,27,33,M,F,3
18,30/12/2017,2022,1,65,63,M,F,3
30,28/02/2019,2022,1,35,32,M,F,3
40,18/04/1992,2022,1,52,48,M,F,3
33,14/02/2000,2022,1,43,53,M,F,4
29,08/04/2011,2022,1,39,32,M,F,4
35,10/07/2015,2022,1,33,31,M,F,4
3,13/02/1989,2022,1,56,58,M,F,4
18,27/12/2019,2022,1,26,26,M,F,4
30,06/02/1999,2022,1,49,,M,F,5
55,26/08/2014,2022,1,70,38,M,F,5
29,10/08/2010,2022,1,37,31,M,F,5
66,01/07/2002,2022,1,57,54,M,F,5
30,02/06/2001,2022,1,49,47,M,F,5
42,13/06/2011,2022,1,33,37,M,F,5
26,22/02/2008,2022,1,32,33,M,F,5
30,27/03/2017,2022,1,26,25,M,F,5
18,08/05/1998,2022,1,44,41,M,F,5
71,31/05/2006,2022,1,41,40,M,F,5
30,11/02/2014,2022,1,29,26,M,F,5
30,23/03/2007,2022,1,42,37,M,F,5
30,18/12/1985,2022,1,56,57,M,F,5
55,07/03/2000,2022,1,61,48,M,F,5
55,04/10/2012,2022,1,59,52,M,F,5
55,18/11/2016,2022,1,28,28,M,F,5
29,11/07/2013,2022,1,33,28,M,F,6
55,18/02/2011,2022,1,37,30,M,F,6
58,31/03/2000,2022,1,43,41,M,F,6
43,07/06/2016,2022,1,31,25,M,F,6
26,28/11/2003,2022,1,45,47,M,F,6
42,18/05/2001,2022,1,40,42,M,F,6
29,19/08/1994,2022,1,52,48,M,F,6
38,13/01/1995,2022,1,51,53,M,F,6
2,11/04/1995,2022,1,47,46,M,F,6
18,18/02/2016,2022,1,33,32,M,F,7
30,06/12/2012,2022,1,63,60,M,F,7
30,29/10/2016,2022,1,42,29,M,F,7
55,18/08/2011,2022,1,39,38,M,F,7
18,16/12/2016,2022,1,36,34,M,F,7
30,25/09/1999,2022,1,48,47,M,F,7
30,22/10/1997,2022,1,58,58,M,F,7
43,24/10/2012,2022,1,32,27,M,F,7
26,16/03/1990,2022,1,55,54,M,F,7
25,04/04/2008,2022,1,42,38,M,F,7
30,18/07/2003,2022,1,57,42,M,F,7
43,09/10/1995,2022,1,53,48,M,F,7
18,28/12/2007,2022,1,43,40,M,F,7
18,07/01/1994,2022,1,51,44,M,F,7
42,17/12/2016,2022,1,44,35,M,F,7
18,06/12/2012,2022,1,52,51,M,F,7
30,01/02/2003,2022,1,48,40,M,F,7
18,13/02/2015,2022,1,30,26,M,F,7
23,14/03/2015,2022,1,26,23,M,F,7
43,22/08/1996,2022,1,51,48,M,F,7
55,07/04/2017,2022,1,28,26,M,F,7
43,13/11/2006,2022,1,45,41,M,F,7
33,28/02/2009,2022,1,39,41,M,F,7
27,13/10/2008,2022,1,34,32,M,F,8
43,27/01/2001,2022,1,44,42,M,F,10
29,22/02/2008,2022,1,40,39,M,F,10
30,28/07/2016,2022,1,35,27,M,F,10
30,23/07/1993,2022,1,53,52,M,F,10
3,04/07/2008,2022,1,37,33,M,F,10
55,04/12/2020,2022,1,57,46,M,F,10
18,12/12/2013,2022,1,32,30,M,F,10
30,03/10/1998,2022,1,47,48,M,F,10
58,24/03/1986,2022,1,67,57,M,F,10
30,08/02/1999,2022,1,57,50,M,F,10
30,25/11/2000,2022,1,40,41,M,F,10
30,14/02/2013,2022,1,40,37,M,F,10
30,11/08/1989,2022,1,60,56,M,F,10
30,11/08/2010,2022,1,34,30,M,F,10
25,19/05/1989,2022,1,59,53,M,F,10
30,03/12/1993,2022,1,51,46,M,F,10
30,16/03/2018,2022,1,38,34,M,F,10
18,27/10/2012,2022,1,39,36,M,F,10
12,12/01/2018,2022,1,50,53,M,F,10
30,03/06/2019,2022,1,43,31,M,F,11
2,12/08/2003,2022,1,40,39,M,F,11
55,12/05/2006,2022,1,41,33,M,F,11
29,21/09/1995,2022,1,53,48,M,F,11
43,11/10/2012,2022,1,34,33,M,F,11
55,29/06/2017,2022,1,26,21,M,F,11
21,20/07/2007,2022,1,45,36,M,F,11
30,18/05/1992,2022,1,56,50,M,F,11
43,11/05/1992,2022,1,48,50,M,F,11
30,09/07/2013,2022,1,34,33,M,F,11
42,22/08/2016,2022,1,52,36,M,F,11
41,25/09/2018,2022,1,28,24,M,F,11
42,19/10/2013,2022,1,34,35,M,F,11
55,16/12/2003,2022,1,45,46,M,F,11
21,05/06/2014,2022,1,28,24,M,F,11
30,18/04/2015,2022,1,43,39,M,F,11
41,10/11/2013,2022,1,39,47,M,F,11
18,22/07/2013,2022,1,42,51,M,F,12
30,17/05/1988,2022,1,60,53,M,F,12
30,11/02/2014,2022,1,44,46,M,F,12
72,02/03/1976,2022,1,65,65,M,F,12
51,31/05/1979,2022,1,75,,M,F,12
30,10/07/2012,2022,1,29,28,M,F,12
30,11/10/2007,2022,1,46,49,M,F,12
19,04/10/1984,2022,1,61,63,M,F,12
47,11/06/1992,2022,1,51,48,M,F,12
70,18/02/2010,2022,1,43,53,M,F,12
30,15/09/1989,2022,1,58,58,M,F,12
18,31/03/1977,2022,1,59,54,M,F,12
55,11/02/2008,2022,1,35,36,M,F,12
30,17/04/1994,2022,1,61,53,M,F,12
66,21/01/2013,2022,1,48,50,M,F,12
30,16/10/2020,2022,1,27,24,M,F,12
19,30/05/1996,2022,1,46,44,M,F,12
43,27/05/1983,2022,1,59,56,M,F,12
30,03/07/1992,2022,1,49,53,M,F,12
33,18/01/2019,2022,1,38,36,M,F,12
55,07/01/2013,2022,1,29,29,M,F,12
30,21/10/2014,2022,1,37,33,M,F,12
18,04/05/2011,2022,1,34,28,M,F,13
19,22/06/2018,2022,1,31,36,M,F,13
30,22/02/2013,2022,1,41,24,M,F,13
30,13/05/1998,2022,1,51,37,M,F,13
17,26/04/1986,2022,1,59,54,M,F,13
42,13/01/2017,2022,1,27,26,M,F,13
55,12/04/2013,2022,1,40,26,M,F,13
43,08/01/1982,2022,1,64,59,M,F,13
55,27/06/2007,2022,1,56,60,M,F,13
30,22/08/1996,2022,1,46,48,M,F,13
30,23/01/2006,2022,1,44,42,M,F,13
18,05/12/1988,2022,1,56,55,M,F,13
25,02/12/2011,2022,1,30,29,M,F,13
18,01/10/2002,2022,1,46,36,M,F,13
55,14/05/2018,2022,1,35,34,M,F,13
35,25/10/2019,2022,1,33,35,M,F,13
55,28/02/2011,2022,1,42,41,M,F,13
55,09/12/2010,2022,1,34,29,M,F,13
42,29/06/2006,2022,1,62,44,M,F,13
51,28/06/2002,2022,1,,36,M,F,13
25,04/03/1994,2022,1,62,50,M,F,13
30,29/03/1993,2022,1,53,48,M,F,13
55,04/08/2006,2022,1,46,41,M,F,13
55,02/06/2016,2022,1,36,30,M,F,13
12,08/01/2019,2022,1,31,29,M,F,13
12,10/05/2019,2022,1,29,31,M,F,13
12,08/10/2001,2022,1,39,37,M,F,13
30,15/03/1993,2022,1,49,48,M,F,17
18,10/03/2000,2022,1,46,45,M,F,14
43,17/11/1999,2022,1,41,40,M,F,14
30,20/05/1988,2022,1,56,58,M,F,14
43,26/11/2010,2022,1,85,64,M,F,14
30,15/02/1997,2022,1,48,44,M,F,14
43,05/08/2004,2022,1,43,42,M,F,14
42,28/04/2014,2022,1,45,38,M,F,14
18,22/02/2016,2022,1,37,25,M,F,14
18,30/04/1988,2022,1,59,56,M,F,14
30,23/03/2019,2022,1,34,30,M,F,14
2,08/07/1993,2022,1,50,46,M,F,14
55,06/12/2004,2022,1,40,34,M,F,14
29,01/05/2021,2022,1,21,22,M,F,15
29,16/04/2001,2022,1,40,41,M,F,16
30,24/01/2003,2022,1,58,64,M,F,17
43,28/10/1988,2022,1,53,52,M,F,17
18,22/12/2020,2022,1,38,28,M,F,17
2,10/12/1981,2022,1,58,56,M,F,17
18,19/12/2007,2022,1,39,35,M,F,17
30,04/10/2000,2022,1,46,44,M,F,17
43,08/11/2005,2022,1,34,34,M,F,17
42,14/07/2018,2022,1,65,61,M,F,17
70,20/12/2003,2022,1,39,57,M,F,17
30,04/05/2001,2022,1,46,45,M,F,17
43,13/08/2007,2022,1,50,42,M,F,17
25,17/02/2006,2022,1,38,34,M,F,17
25,07/07/2000,2022,1,43,37,M,F,17
2,15/06/1984,2022,1,57,55,M,F,17
47,02/04/1973,2022,1,75,67,M,F,17
27,16/02/2020,2022,1,,,,,17
27,16/02/2020,2022,1,30,25,M,F,17
