municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
18,02/05/2011,2021,1,41,32,M,F,5
18,09/09/1994,2021,1,53,50,M,F,5
18,20/01/1987,2021,1,51,49,M,F,5
30,21/09/2001,2021,1,45,44,M,F,5
21,06/04/2020,2021,1,43,39,M,F,6
29,27/07/2012,2021,1,31,30,M,F,5
29,15/11/2002,2021,1,44,38,M,F,6
30,20/05/1998,2021,1,50,48,M,F,6
18,15/02/1995,2021,1,49,45,M,F,6
35,22/02/2007,2021,1,49,43,M,F,6
18,23/11/2007,2021,1,42,37,M,F,6
25,20/03/2015,2021,1,24,25,M,F,6
18,16/11/2019,2021,1,32,32,M,F,7
30,28/03/2009,2021,1,49,43,M,F,7
58,08/07/2004,2021,1,35,33,M,F,7
55,26/10/2007,2021,1,31,28,M,F,7
30,23/05/1991,2021,1,,,M,F,7
55,23/03/2012,2021,1,33,29,M,F,7
48,07/07/2015,2021,1,62,66,M,F,7
23,02/04/2015,2021,1,26,24,M,F,7
55,10/08/2006,2021,1,36,31,M,F,7
55,02/02/1999,2021,1,41,43,M,F,7
14,28/01/1978,2021,1,67,67,M,F,7
14,28/01/1978,2021,1,67,67,M,F,7
12,06/04/2016,2021,1,46,47,M,F,8
70,05/06/1989,2021,2,53,50,M,F,15
48,04/06/2010,2021,1,34,33,M,F,8
18,25/04/2017,2021,1,34,30,M,F,8
43,26/11/2008,2021,1,39,33,M,F,8
18,17/10/2001,2021,1,38,38,M,F,8
43,11/07/2003,2021,1,54,42,M,F,8
55,25/05/1998,2021,1,42,42,M,F,8
35,29/07/2016,2021,1,39,41,M,F,8
38,13/02/2014,2021,1,31,30,M,F,8
43,04/10/2001,2021,1,51,43,M,F,8
38,30/07/2010,2021,1,60,45,M,F,10
30,19/03/1996,2021,1,44,45,M,F,11
30,25/11/2009,2021,1,44,31,M,F,11
55,03/08/2018,2021,1,28,37,M,F,11
30,28/10/1997,2021,1,47,42,M,F,11
4,07/11/1997,2021,1,47,40,M,F,11
18,15/12/2008,2021,1,35,33,M,F,11
42,11/08/2000,2021,1,44,38,M,F,11
19,11/07/2005,2021,1,42,37,M,F,11
43,12/03/2001,2021,1,48,38,M,F,11
25,15/07/2005,2021,1,,36,M,F,11
35,17/04/2015,2021,1,36,52,M,F,11
30,15/09/2010,2021,1,39,41,M,F,11
55,08/09/2020,2021,1,48,37,M,F,12
55,10/02/2014,2021,1,38,41,M,F,12
55,07/10/1997,2021,1,41,42,M,F,12
12,15/12/2012,2021,1,35,35,M,F,12
29,17/03/1998,2021,1,45,42,M,F,12
55,17/04/2009,2021,1,40,45,M,F,12
42,23/08/1995,2021,1,52,45,M,F,12
29,27/09/1990,2021,1,55,53,M,F,12
26,16/02/2016,2021,1,31,29,M,F,12
43,03/07/2003,2021,1,38,37,M,F,12
26,12/07/2008,2021,1,36,,M,F,12
43,08/12/2016,2021,1,45,42,M,F,12
43,08/07/1994,2021,1,45,45,M,F,12
43,11/06/1992,2021,1,51,48,M,F,12
26,23/12/1987,2021,1,59,63,M,F,12
4,08/06/2006,2021,1,48,31,M,F,12
56,15/04/1999,2021,1,43,38,M,F,12
30,07/05/2002,2021,1,41,41,M,F,13
55,11/09/1998,2021,1,44,41,M,F,13
30,06/02/2004,2021,1,59,44,M,F,13
43,15/02/2002,2021,1,44,40,M,F,13
30,28/04/2014,2021,1,30,26,M,F,13
29,12/02/2002,2021,1,40,37,M,F,13
42,14/06/2015,2021,1,31,30,M,F,13
30,21/11/1991,2021,1,52,52,M,F,13
55,19/09/1987,2021,1,54,56,M,F,13
43,24/08/2006,2021,1,52,40,M,F,13
43,14/11/2002,2021,1,59,56,M,F,13
30,05/04/1999,2021,1,47,45,M,F,13
29,06/11/1996,2021,1,44,45,M,F,13
23,02/05/2008,2021,1,38,34,M,F,13
2,28/03/1996,2021,1,44,43,M,F,13
71,08/05/1980,2021,1,60,59,M,F,13
18,03/05/1996,2021,1,50,45,M,F,13
18,10/02/1974,2021,1,65,65,M,F,13
18,14/04/2018,2021,1,31,35,M,F,13
43,28/10/1988,2021,1,50,50,M,F,13
18,23/10/2009,2021,1,59,49,M,F,13
55,12/07/2012,2021,1,46,45,M,F,14
30,24/03/2012,2021,1,41,39,M,F,14
43,15/03/2004,2021,1,38,36,M,F,14
26,02/01/1995,2021,1,46,48,M,F,14
18,18/01/1995,2021,1,45,41,M,F,14
18,16/05/1990,2021,1,52,51,M,F,14
30,06/07/2012,2021,1,34,32,M,F,14
30,23/06/1997,2021,1,56,60,M,F,14
25,28/01/2002,2021,1,47,46,M,F,14
66,12/12/2005,2021,1,40,37,F,F,14
18,03/02/1994,2021,1,56,54,M,F,14
18,25/07/2008,2021,1,44,37,M,F,14
18,09/07/2004,2021,1,47,44,M,F,14
42,05/05/2012,2021,1,38,33,M,F,14
18,18/11/2009,2021,1,53,46,M,F,14
55,17/03/2017,2021,1,30,28,M,F,15
26,03/04/1997,2021,1,44,44,F,F,15
12,16/02/2017,2021,1,32,25,M,F,29
12,07/12/2011,2021,1,32,30,M,F,15
30,25/04/1991,2021,1,50,49,M,F,15
30,24/02/2017,2021,1,31,26,M,F,15
55,17/02/2012,2021,1,33,38,M,F,15
11,30/04/2015,2021,1,35,28,M,F,15
18,22/11/1989,2021,1,50,50,M,F,15
26,24/06/2005,2021,1,42,34,M,F,15
18,10/12/2004,2021,1,16,42,M,F,15
18,02/03/2001,2021,1,41,40,M,F,15
18,14/02/2011,2021,1,33,30,M,F,15
42,21/07/2011,2021,1,35,33,M,F,15
18,29/10/1997,2021,1,53,47,M,F,15
18,19/04/1996,2021,1,53,52,M,F,15
18,13/04/2009,2021,1,37,41,M,F,15
29,01/03/2012,2021,1,56,45,M,F,15
