municipio,fecha_matrimonio,anio_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
24,14/02/2014,2023,1,48,47,M,F,1
30,4/11/1977,2023,1,71,70,M,F,2
30,20/05/1977,2023,1,69,65,M,F,2
30,20/12/1999,2023,1,61,63,M,F,2
30,16/08/1974,2023,1,74,81,M,F,2
30,6/9/2013,2023,1,32,34,M,F,2
33,19/02/1987,2023,1,58,57,I,I,2
26,6/8/1992,2023,1,50,47,M,F,2
52,2/2/1990,2023,1,60,57,M,F,2
33,16/11/2018,2023,1,31,32,M,F,2
55,22/09/1994,2023,1,46,47,M,F,3
41,17/10/1997,2023,1,45,46,M,F,3
30,22/06/2019,2023,1,43,40,M,F,3
30,6/5/2003,2023,1,48,54,M,F,3
30,25/10/1991,2023,1,49,47,M,F,3
2,24/09/2013,2023,1,29,28,M,F,3
29,29/01/2020,2023,1,32,32,M,F,3
30,27/11/2000,2023,1,49,45,M,F,3
18,11/12/1998,2023,1,46,44,M,F,3
30,28/02/1989,2023,1,55,55,M,F,3
5,31/12/2016,2023,1,26,27,M,F,3
30,29/05/2001,2023,1,44,43,M,F,3
29,17/10/2014,2023,1,37,33,M,F,3
30,15/10/2014,2023,1,45,36,M,F,3
30,4/6/2005,2023,1,45,43,M,F,3
30,15/11/2011,2023,1,43,39,M,F,3
61,14/04/2006,2023,1,36,36,M,F,3
30,17/10/1999,2023,1,46,42,M,F,4
21,12/12/2013,2023,1,58,46,M,F,4
55,27/02/1991,2023,1,57,58,M,F,4
30,2/6/2007,2023,1,37,34,M,F,4
30,29/01/1999,2023,1,55,65,M,F,4
18,24/08/2013,2023,1,29,28,M,F,4
33,23/09/1996,2023,1,45,44,M,F,4
18,28/04/1995,2023,1,50,49,M,F,4
55,15/01/2016,2023,1,51,60,M,F,4
26,16/07/1977,2023,1,67,65,M,F,4
18,6/4/1998,2023,1,45,46,M,F,4
18,3/3/2000,2023,1,43,51,M,F,4
55,12/3/2008,2023,1,45,41,M,F,4
30,24/04/1997,2023,1,49,55,M,F,4
18,30/12/1981,2023,1,68,61,M,F,4
37,15/01/2006,2023,1,45,44,M,F,4
58,9/6/1995,2023,1,47,46,M,F,4
30,19/10/2000,2023,1,43,39,M,F,4
3,25/08/2005,2023,1,42,44,M,F,4
29,27/03/2018,2023,1,57,57,M,F,5
55,15/07/2016,2023,1,36,32,M,F,5
43,20/01/1992,2023,1,53,50,M,F,5
29,10/7/1995,2023,1,48,46,M,F,5
43,19/09/2014,2023,1,40,37,M,F,5
55,8/1/2020,2023,1,37,32,M,F,5
30,14/11/2013,2023,1,34,36,M,F,5
55,26/05/2015,2023,1,37,33,M,F,5
25,28/05/2010,2023,1,32,28,I,I,5
33,13/02/1987,2023,1,58,59,M,F,5
33,10/7/1998,2023,1,45,40,M,F,5
48,22/06/2001,2023,1,44,39,M,F,6
26,21/02/2017,2023,1,30,41,M,F,6
30,7/10/2005,2023,1,43,39,M,F,6
55,11/10/1997,2023,1,62,46,M,F,6
30,11/7/1988,2023,1,53,52,M,F,6
55,9/7/2018,2023,1,36,33,M,F,6
30,10/2/1988,2023,1,58,57,M,F,6
30,26/02/2020,2023,1,47,40,M,F,6
18,13/12/2011,2023,1,37,34,M,F,6
43,14/03/2019,2023,1,54,57,M,F,6
30,13/04/2005,2023,1,46,38,M,F,6
30,19/12/1998,2023,1,57,55,M,F,6
35,18/09/2015,2023,1,35,37,M,F,6
30,22/04/2016,2023,1,38,34,M,F,6
29,11/2/2008,2023,1,43,49,M,F,6
48,8/7/2016,2023,1,33,27,M,F,6
52,22/07/1989,2023,1,52,52,M,F,6
29,17/08/1999,2023,1,48,45,M,F,6
26,3/2/1998,2023,1,43,40,M,F,6
30,31/05/1984,2023,1,59,58,M,F,6
47,24/05/2013,2023,1,39,41,M,F,6
19,1/6/1991,2023,1,63,61,M,F,6
33,13/01/1989,2023,1,58,56,I,I,6
18,21/03/2014,2023,1,35,34,M,F,6
30,14/08/1992,2023,1,,51,M,F,6
30,31/10/1992,2023,1,52,56,M,F,9
43,14/06/2007,2023,1,47,50,M,F,9
43,26/06/1989,2023,1,60,54,M,F,9
43,14/03/2014,2023,1,37,38,M,F,9
43,9/4/2021,2023,1,44,40,M,F,9
2,8/3/2002,2023,1,43,37,M,F,9
29,26/09/2012,2023,1,65,0,M,F,9
29,26/09/2012,2023,1,39,,M,F,9
30,15/05/2013,2023,1,44,32,M,F,9
25,15/01/1998,2023,1,51,48,M,F,9
17,9/1/2015,2023,1,27,25,M,F,9
30,24/06/1991,2023,1,54,52,M,F,9
26,16/05/2009,2023,1,34,35,M,F,9
25,4/10/2019,2023,1,29,34,M,F,9
25,17/02/2021,2023,1,65,63,M,F,9
42,29/03/2014,2023,1,34,28,M,F,9
42,17/10/2012,2023,1,41,37,M,F,9
55,7/12/1985,2023,1,64,61,M,F,9
71,2/12/1997,2023,1,53,50,M,F,9
35,12/9/2014,2023,1,34,28,M,F,9
55,11/10/2021,2023,1,27,25,M,F,9
42,1/2/1996,2023,1,49,47,F,F,9
41,13/11/2014,2023,1,33,34,M,F,9
18,17/04/2006,2023,1,87,60,M,F,10
30,1/10/2007,2023,1,37,36,M,F,10
18,30/11/2019,2023,1,37,32,M,F,10
43,15/06/2011,2023,1,43,36,M,F,10
18,5/10/1990,2023,1,52,51,M,F,10
30,25/05/2015,2023,1,30,28,M,F,10
30,21/04/2004,2023,1,42,39,M,F,10
43,14/12/2004,2023,1,40,37,M,F,10
35,13/12/2013,2023,1,39,38,M,F,10
66,29/10/1998,2023,1,47,50,M,F,10
55,19/07/2013,2023,1,38,49,M,F,10
25,27/08/2008,2023,1,35,36,M,F,10
43,27/01/1992,2023,1,53,50,M,F,10
43,29/11/2011,2023,1,66,50,M,F,10
30,23/08/1985,2023,1,65,63,M,F,10
69,19/09/1982,2023,1,59,55,M,F,10
18,15/02/2018,2023,1,38,32,M,F,10
55,18/05/2018,2023,1,55,50,M,F,10
43,8/11/2002,2023,1,43,50,M,F,10
71,25/06/1998,2023,1,47,43,M,F,10
30,30/05/2014,2023,1,42,43,M,F,10
69,7/4/1990,2023,1,54,50,M,F,10
43,16/12/2016,2023,1,33,28,M,F,11
72,3/7/2015,2023,1,53,48,M,F,11
2,20/06/1995,2023,1,44,43,M,F,11
55,7/5/1996,2023,1,54,49,M,F,11
55,15/07/2014,2023,1,38,36,M,F,11
29,17/03/2016,2023,1,47,39,M,F,11
30,30/06/2018,2023,1,56,54,M,F,11
46,25/06/2016,2023,1,38,43,M,F,11
43,10/11/1988,2023,1,60,54,M,F,11
30,1/5/2020,2023,1,37,33,M,F,11
4,21/03/2014,2023,1,41,62,M,F,11
33,12/11/1986,2023,1,58,52,I,F,11
18,23/07/2010,2023,1,39,42,M,F,11
18,15/05/2015,2023,1,37,28,M,F,11
55,24/08/2005,2023,1,55,49,M,F,11
47,10/12/2015,2023,1,35,38,M,F,11
30,24/05/2012,2023,1,33,34,M,F,11
18,6/10/1995,2023,1,47,44,M,F,11
30,12/6/2000,2023,1,50,58,M,F,11
30,17/08/1991,2023,1,54,50,M,F,12
29,17/12/2013,2023,1,38,38,M,F,12
55,18/09/2020,2023,1,28,22,M,F,12
43,5/4/2013,2023,1,36,33,M,F,12
43,6/9/2000,2023,1,49,41,M,F,12
55,8/6/2016,2023,1,49,38,M,F,12
30,22/10/1997,2023,1,60,51,M,F,12
30,19/09/1998,2023,1,54,53,M,F,12
30,9/11/2005,2023,1,54,48,M,F,12
30,10/1/2014,2023,1,50,50,M,F,12
43,13/10/2017,2023,1,39,31,M,F,12
30,19/12/2008,2023,1,35,31,M,F,12
41,8/8/2022,2023,1,60,50,M,F,12
29,2/12/2008,2023,1,36,33,M,F,12
30,13/07/2019,2023,1,29,26,M,F,12
30,15/12/2017,2023,1,38,32,M,F,12
30,7/2/2015,2023,1,38,38,M,F,12
18,15/01/1999,2023,1,52,55,M,F,12
29,12/2/1988,2023,1,57,54,M,F,12
29,30/05/1979,2023,1,58,53,M,F,12
18,19/10/2018,2023,1,28,29,M,F,12
30,14/10/2003,2023,1,41,39,M,F,12
18,29/11/2007,2023,1,43,40,M,F,12
30,24/10/2015,2023,1,35,35,M,F,12
41,21/09/2021,2023,1,35,31,M,F,13
55,28/08/1985,2023,1,57,54,M,F,13
48,6/1/1997,2023,1,58,55,M,F,13
18,18/05/2000,2023,1,,,M,F,13
43,12/8/2009,2023,1,49,,M,F,13
18,13/12/2007,2023,1,33,37,M,F,13
18,20/01/2000,2023,1,43,38,M,F,13
18,30/05/1992,2023,1,56,47,M,F,13
18,7/5/1993,2023,1,58,51,M,F,13
43,20/11/2014,2023,1,39,49,M,F,13
48,19/06/2012,2023,1,36,30,M,F,13
30,12/8/1995,2023,1,54,49,M,F,13
25,8/9/2000,2023,1,48,45,M,F,13
25,16/03/2018,2023,1,27,28,M,F,13
55,11/1/2021,2023,1,25,26,M,F,13
30,29/07/1995,2023,1,56,54,M,F,13
30,12/2/2009,2023,1,33,30,M,F,13
58,15/06/2001,2023,1,42,41,M,F,13
30,29/05/1993,2023,1,53,50,M,F,13
35,18/10/2021,2023,1,77,44,M,F,13
43,26/01/2005,2023,1,49,44,M,M,13
30,29/06/2000,2023,1,40,42,M,F,13
42,12/7/2007,2023,1,52,44,M,F,13
18,4/11/2013,2023,1,33,27,M,F,13
18,22/05/2019,2023,1,62,58,M,F,13
18,11/7/2017,2023,1,25,28,M,F,13
25,10/5/2000,2023,1,45,44,M,F,13
71,24/04/1998,2023,1,43,49,M,F,13
35,19/10/2010,2023,1,67,55,M,F,13
4,25/06/1991,2023,1,64,55,M,F,13
29,12/2/1999,2023,1,62,46,M,F,13
