municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
61,23/04/2000,2019,12,48,43,M,F,3
59,20/03/2000,2019,10,45,37,M,F,31
34,19/10/2002,2019,2,42,40,M,F,7
68,18/09/2019,2019,9,29,27,M,F,18
15,02/08/1959,2019,6,78,77,M,F,27
10,06/06/1980,2019,11,59,56,M,F,15
5,14/02/2016,2019,12,21,20,M,F,16
19,22/05/2002,2019,6,37,37,M,F,22
42,31/08/1991,2019,8,56,49,M,F,29
30,24/05/2006,2019,2,38,38,M,F,18
33,16/12/2013,2019,1,27,,M,F,7
33,,2019,9,,,,,24
19,06/04/1991,2019,8,59,58,M,F,19
43,07/09/2005,2019,11,45,42,M,F,26
1,06/04/1998,2019,8,,,M,F,26
30,02/12/2009,2019,1,29,31,M,F,17
30,08/10/2005,2019,1,,,M,F,10
30,15/06/1998,2019,3,46,43,M,F,5
27,13/08/2007,2019,2,30,28,M,F,13
41,,2019,10,33,27,M,F,17
16,,2019,1,25,31,M,F,27
48,29/10/2012,2019,10,2,2,M,F,9
52,,2019,2,,,M,F,4
30,,2019,2,,,M,F,7
17,,2019,9,53,54,M,F,4
55,,2019,10,24,23,M,F,25
36,,2019,2,,,M,F,5
23,,2019,5,31,30,M,F,23
2,,2019,12,45,45,M,F,10
55,,2019,10,23,26,M,F,10
42,,2019,6,38,36,M,F,21
43,,2019,10,31,32,M,F,21
64,,2019,2,47,40,M,F,14
64,,2019,2,,,,,14
30,20/10/1988,2019,12,64,54,M,F,17
25,,2019,4,73,66,M,F,15
30,13/06/2008,2019,1,29,28,M,F,11
2,21/08/2007,2019,8,32,31,M,F,28
67,02/04/2019,2019,4,56,58,M,F,2
43,11/12/2019,2019,12,30,34,M,F,11
55,10/09/2007,2019,3,38,34,M,F,12
26,05/01/2007,2019,8,54,52,M,F,6
30,,2019,6,51,45,M,F,25
52,,2019,12,29,29,M,F,17
52,,2019,12,,,,,17
23,,2019,2,51,48,M,F,25
3,,2019,8,45,45,M,F,28
3,,2019,8,,,,,28
42,,2019,5,66,65,M,F,22
42,03/09/1997,2019,3,43,39,M,F,1
42,,2019,3,,,,,1
5,,2019,2,46,39,M,F,21
52,06/10/2011,2019,2,32,34,M,F,19
55,25/03/2010,2019,7,28,27,M,F,11
55,,2019,7,,,,,11
16,,2019,5,52,47,M,F,18
30,25/03/1999,2019,3,45,41,M,F,1
21,20/11/2006,2019,6,35,37,M,F,4
30,,2019,10,45,43,M,F,22
18,,2019,7,,,M,F,5
2,21/11/1997,2019,8,45,43,M,F,7
18,03/10/1996,2019,5,64,48,M,F,27
36,,2019,2,54,49,M,F,11
29,13/05/2002,2019,5,39,37,M,F,14
48,,2019,4,48,48,M,F,30
2,09/05/1967,2019,4,74,69,M,F,3
30,23/04/2003,2019,5,55,56,M,F,20
42,,2019,4,34,37,M,F,17
17,05/11/2016,2019,7,,,M,F,9
33,18/06/2010,2019,8,36,27,M,F,16
29,30/01/1978,2019,5,67,62,M,F,6
42,,2019,9,57,54,M,F,30
71,25/11/2003,2019,6,37,37,M,F,11
35,,2019,10,31,27,M,F,4
30,11/06/2010,2019,2,31,32,M,F,21
2,02/07/2010,2019,8,32,33,M,F,22
30,29/04/1987,2019,2,51,49,M,F,9
26,01/02/2012,2019,3,31,28,M,F,26
30,03/01/2008,2019,4,52,44,M,F,30
52,04/10/2002,2019,5,40,37,M,F,29
30,05/04/2013,2019,6,29,29,M,F,18
18,25/09/2009,2019,10,36,33,M,F,24
18,10/02/2015,2019,11,42,,M,F,6
18,08/03/2011,2019,7,38,49,M,F,3
29,26/08/2010,2019,6,28,26,M,F,21
30,01/11/2007,2019,5,30,32,M,F,27
42,29/03/2006,2019,2,54,58,M,F,14
30,09/10/2003,2019,2,57,55,M,F,21
30,25/11/2016,2019,1,39,29,M,F,29
42,29/10/2007,2019,3,41,33,M,F,25
18,12/02/2014,2019,7,47,43,M,F,16
26,15/07/2014,2019,4,38,41,M,F,8
30,06/09/2001,2019,6,,,M,F,20
30,23/09/2003,2019,11,,,M,F,26
18,09/09/2011,2019,3,31,29,M,F,25
18,01/06/1999,2019,6,,,M,F,2
26,16/02/1998,2019,3,41,40,M,F,29
48,02/05/2015,2019,12,35,32,M,F,16
3,22/08/1993,2019,7,45,47,M,F,19
55,30/08/2007,2019,5,28,26,M,F,30
30,14/11/1985,2019,6,61,49,M,F,6
3,02/01/2006,2019,4,42,39,M,F,16
29,25/04/1996,2019,8,56,64,M,F,23
30,01/03/1996,2019,4,49,47,M,F,2
26,25/08/1995,2019,1,,,M,F,11
30,04/04/1990,2019,1,47,47,M,F,4
55,17/12/1992,2019,4,49,47,M,F,2
18,22/11/2012,2019,10,29,29,M,F,4
48,13/12/2002,2019,4,39,40,M,F,12
29,28/06/1998,2019,5,47,46,M,F,9
