municipio,fecha_matrimonio,año_registro,mes_registro,edad_div1,edad_div2,sexo_div1,sexo_div2,dia_registro
64,05/10/1996,2017,12,,46,M,F,15
42,28/10/2013,2017,9,28,25,M,F,7
29,,2017,4,54,55,M,F,18
27,14/02/2016,2017,10,43,41,M,F,19
43,01/12/1975,2017,3,69,65,M,F,13
30,,2017,3,,,,,21
41,,2017,10,48,45,M,F,11
29,,2017,8,,,M,F,28
42,02/10/1982,2017,2,61,54,M,F,15
57,18/10/2003,2017,12,39,38,M,F,20
30,,2017,12,34,35,M,F,26
30,28/07/1982,2017,9,57,60,M,F,28
30,30/03/1990,2017,1,49,49,M,F,10
38,,2017,11,,,,,27
30,22/11/2014,2017,8,23,26,M,F,7
18,27/11/2000,2017,12,42,38,M,F,4
17,,2017,2,35,33,M,F,21
42,,2017,11,55,40,M,F,6
66,,2017,10,41,37,M,F,27
30,,2017,2,,,M,F,20
26,,2017,5,57,56,M,F,25
55,,2017,5,49,49,M,F,23
31,03/05/1991,2017,8,52,46,M,F,28
30,02/03/1999,2017,10,41,41,M,F,1
25,,2017,11,,,M,F,13
71,,2017,6,,,,,8
18,,2017,1,39,30,M,F,16
29,30/04/2016,2017,8,,32,M,F,28
29,,2017,8,,,,,28
55,05/03/2007,2017,5,51,43,M,F,25
30,28/08/2006,2017,9,,,M,F,12
2,23/05/1996,2017,12,43,41,M,F,1
29,17/08/2000,2017,12,36,34,M,F,15
17,17/11/2006,2017,3,51,33,M,F,9
18,07/02/2014,2017,12,24,23,M,F,1
55,,2017,1,39,40,M,F,31
30,27/10/2008,2017,9,36,33,M,F,19
48,14/12/2000,2017,6,40,41,M,F,26
48,,2017,9,46,51,M,F,5
27,,2017,5,34,38,M,F,5
23,,2017,11,58,57,M,F,8
30,28/04/2012,2017,1,41,33,M,F,27
55,23/05/2006,2017,2,49,45,M,F,2
30,02/05/1991,2017,8,45,44,M,F,10
29,25/05/2017,2017,5,39,39,M,F,25
30,,2017,11,45,42,M,F,10
30,02/05/2009,2017,3,45,35,M,F,15
18,26/09/2006,2017,6,38,29,M,F,2
3,02/07/2007,2017,3,31,24,M,F,10
41,,2017,11,47,44,M,F,9
55,,2017,6,29,29,M,F,28
55,06/09/2012,2017,2,25,21,M,F,8
19,27/02/2004,2017,9,31,30,M,F,20
30,,2017,4,43,1,M,F,7
30,21/11/0983,2017,2,56,53,M,F,27
18,28/06/1986,2017,4,56,50,M,F,5
18,15/12/2008,2017,6,60,37,M,F,21
30,21/01/2016,2017,7,25,26,M,F,27
30,28/06/1999,2017,10,36,33,M,F,4
25,23/07/2004,2017,3,34,31,M,F,8
29,20/02/1996,2017,8,50,51,M,F,29
42,16/11/1990,2017,6,52,50,M,F,26
17,13/02/2002,2017,9,40,40,M,F,26
55,11/10/2012,2017,7,31,29,M,F,6
30,29/07/1996,2017,11,42,41,M,F,13
2,12/12/2008,2017,2,43,36,M,F,17
30,11/12/1991,2017,5,51,47,M,F,15
57,11/07/1998,2017,11,43,47,M,F,6
18,18/05/1979,2017,2,57,54,M,F,7
42,14/09/1991,2017,6,50,47,M,F,23
56,13/04/2014,2017,12,27,33,M,F,19
30,23/06/1994,2017,9,44,43,M,F,4
56,26/10/2009,2017,11,39,37,M,F,23
28,31/12/2008,2017,6,37,27,M,F,14
26,17/12/2009,2017,6,29,30,M,F,7
30,29/01/2003,2017,8,39,38,M,F,10
30,29/11/2006,2017,3,45,35,M,F,2
67,16/11/2015,2017,9,35,30,M,F,3
30,04/06/2002,2017,5,43,42,M,F,22
