municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
55,42.0,39.0,M,F,2017,11,24
2,27.0,27.0,M,F,2017,3,10
30,23.0,23.0,M,F,2017,4,6
30,22.0,21.0,M,F,2017,4,6
18,28.0,30.0,M,F,2017,3,8
48,25.0,24.0,M,F,2017,3,10
30,35.0,32.0,M,F,2017,5,13
18,30.0,31.0,M,F,2017,5,12
25,22.0,23.0,M,F,2017,5,12
55,30.0,30.0,M,F,2017,5,12
29,26.0,25.0,M,F,2017,1,13
42,23.0,24.0,M,F,2017,5,12
18,21.0,19.0,M,F,2017,4,4
18,61.0,50.0,M,F,2017,5,12
30,55.0,49.0,M,F,2017,2,22
30,21.0,19.0,M,F,2017,2,22
55,30.0,18.0,M,F,2017,3,2
26,27.0,20.0,M,F,2017,3,2
30,27.0,25.0,M,F,2017,4,21
55,31.0,19.0,M,F,2017,4,25
30,34.0,23.0,M,F,2017,2,22
18,24.0,22.0,M,F,2017,3,17
30,41.0,29.0,M,F,2017,3,17
43,28.0,29.0,M,F,2017,3,17
18,39.0,40.0,M,F,2017,3,17
18,24.0,22.0,M,F,2017,1,27
29,31.0,28.0,M,F,2017,1,27
55,27.0,27.0,M,F,2017,1,16
55,21.0,22.0,M,F,2017,3,17
30,28.0,20.0,M,F,2017,2,28
18,28.0,23.0,M,F,2017,3,3
25,32.0,28.0,M,F,2017,4,20
18,30.0,26.0,M,F,2017,4,25
39,27.0,23.0,M,F,2017,2,24
48,25.0,20.0,M,F,2017,2,15
26,30.0,28.0,M,F,2017,2,28
42,23.0,22.0,M,F,2017,4,26
55,34.0,32.0,M,F,2017,3,22
30,24.0,22.0,M,F,2017,2,15
29,62.0,50.0,M,F,2017,3,3
30,34.0,32.0,M,F,2017,4,18
35,30.0,41.0,M,F,2017,4,17
55,25.0,21.0,M,F,2017,3,7
30,30.0,30.0,M,F,2017,4,25
33,30.0,17.0,M,F,2017,3,2
26,38.0,28.0,M,F,2017,3,2
55,21.0,17.0,M,F,2017,5,3
30,35.0,22.0,M,F,2017,2,21
18,44.0,44.0,M,F,2017,4,20
66,29.0,23.0,M,F,2017,5,25
55,49.0,52.0,M,F,2017,1,3
18,26.0,26.0,M,F,2017,1,4
29,32.0,25.0,M,F,2017,1,5
30,34.0,34.0,M,F,2017,1,4
42,32.0,27.0,M,F,2017,1,2
30,70.0,66.0,M,F,2017,2,17
43,34.0,32.0,M,F,2017,1,12
48,33.0,26.0,M,F,2017,1,12
30,29.0,36.0,M,F,2017,1,26
30,27.0,28.0,M,F,2017,2,4
42,32.0,32.0,M,F,2017,2,3
18,25.0,27.0,M,F,2017,2,3
29,23.0,18.0,M,F,2017,2,3
30,65.0,60.0,M,F,2017,2,4
18,58.0,50.0,M,F,2017,2,15
43,24.0,23.0,M,F,2017,1,27
29,29.0,28.0,M,F,2017,1,12
30,24.0,25.0,M,F,2017,2,22
30,50.0,49.0,M,F,2017,2,24
42,60.0,55.0,M,F,2017,3,10
23,36.0,24.0,M,F,2017,2,17
19,62.0,51.0,M,F,2017,2,16
30,24.0,17.0,M,F,2017,2,16
18,32.0,27.0,M,F,2017,2,16
18,29.0,27.0,M,F,2017,4,1
43,23.0,23.0,M,F,2017,3,3
18,30.0,23.0,M,F,2017,3,3
30,30.0,30.0,M,F,2017,3,3
30,27.0,32.0,M,F,2017,2,4
55,26.0,25.0,M,F,2017,1,27
35,25.0,29.0,M,F,2017,3,10
58,29.0,28.0,M,F,2017,3,10
30,23.0,22.0,M,F,2017,3,10
35,61.0,57.0,M,F,2017,2,16
18,65.0,53.0,M,F,2017,2,16
30,26.0,22.0,M,F,2017,2,15
36,42.0,28.0,M,F,2017,2,15
18,26.0,18.0,M,F,2017,2,15
55,56.0,46.0,M,F,2017,2,13
71,23.0,21.0,M,F,2017,2,17
30,49.0,54.0,M,F,2017,2,17
42,26.0,20.0,M,F,2017,2,17
42,38.0,44.0,M,F,2017,2,17
17,33.0,34.0,M,F,2017,3,3
30,51.0,40.0,M,F,2017,3,3
30,36.0,33.0,M,F,2017,3,4
55,38.0,41.0,M,F,2017,3,3
30,37.0,44.0,M,F,2017,3,3
55,51.0,47.0,M,F,2017,2,13
43,51.0,57.0,M,F,2017,3,10
30,31.0,25.0,M,F,2017,3,10
42,49.0,50.0,M,F,2017,3,11
30,40.0,37.0,M,F,2017,3,10
18,39.0,46.0,M,F,2017,2,14
30,24.0,23.0,M,F,2017,2,16
30,53.0,32.0,M,F,2017,2,15
36,29.0,27.0,M,F,2017,2,15
30,36.0,23.0,M,F,2017,2,15
55,57.0,47.0,M,F,2017,2,15
55,21.0,22.0,M,F,2017,2,17
30,21.0,21.0,M,F,2017,3,3
18,21.0,18.0,M,F,2017,3,3
18,23.0,23.0,M,F,2017,1,19
30,37.0,34.0,M,F,2017,1,19
49,37.0,27.0,M,F,2017,2,14
55,39.0,32.0,M,F,2017,2,17
35,31.0,18.0,M,F,2017,2,17
35,24.0,22.0,M,F,2017,3,21
30,22.0,29.0,M,F,2017,2,14
43,41.0,33.0,M,F,2017,2,14
29,63.0,51.0,M,F,2017,1,10
18,43.0,34.0,M,F,2017,2,15
30,57.0,58.0,M,F,2017,2,15
43,25.0,26.0,M,F,2017,2,3
30,25.0,23.0,M,F,2017,2,3
29,26.0,30.0,M,F,2017,2,26
55,34.0,33.0,M,F,2017,2,17
42,38.0,39.0,M,F,2017,2,17
30,29.0,24.0,M,F,2017,1,19
42,26.0,25.0,M,F,2017,2,3
42,29.0,25.0,M,F,2017,2,3
43,45.0,31.0,M,F,2017,2,3
18,26.0,26.0,M,F,2017,2,3
43,34.0,31.0,M,F,2017,2,14
42,57.0,49.0,M,F,2017,2,14
42,36.0,42.0,M,F,2017,2,16
29,23.0,25.0,M,F,2017,2,22
30,34.0,35.0,M,F,2017,2,16
18,40.0,35.0,M,F,2017,2,14
55,24.0,22.0,M,F,2017,2,15
55,23.0,24.0,M,F,2017,2,15
3,34.0,31.0,M,F,2017,2,4
41,25.0,23.0,M,F,2017,2,27
18,39.0,25.0,M,F,2017,2,27
55,38.0,31.0,M,F,2017,3,3
65,32.0,17.0,M,F,2017,3,3
53,28.0,22.0,M,F,2017,3,5
25,22.0,21.0,M,F,2017,2,3
30,46.0,45.0,M,F,2017,2,3
43,55.0,45.0,M,F,2017,2,14
47,43.0,43.0,M,F,2017,2,14
30,25.0,26.0,M,F,2017,2,14
18,49.0,38.0,M,F,2017,2,16
55,20.0,20.0,M,F,2017,2,16
30,27.0,37.0,M,F,2017,2,14
18,29.0,24.0,M,F,2017,2,14
19,46.0,39.0,M,F,2017,2,17
42,20.0,19.0,M,F,2017,2,14
42,37.0,30.0,M,F,2017,2,10
18,27.0,17.0,M,F,2017,2,15
