municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
55,30.0,22.0,T,F,2020,4,21
55,44.0,46.0,M,F,2020,4,22
29,,,M,F,2020,3,17
18,37.0,40.0,M,F,2020,4,20
56,35.0,26.0,M,F,2020,4,21
29,,,M,F,2020,3,18
29,,,M,F,2020,3,20
29,,,,,2020,3,7
55,28.0,19.0,M,F,2020,4,21
51,28.0,26.0,M,F,2020,4,10
21,42.0,38.0,M,F,2020,4,6
16,36.0,21.0,M,F,2020,4,21
29,23.0,20.0,M,F,2020,4,15
25,44.0,42.0,M,F,2020,4,22
29,41.0,26.0,M,F,2020,3,5
36,27.0,18.0,M,F,2020,3,13
23,29.0,24.0,M,F,2020,4,25
29,23.0,35.0,M,F,2020,4,24
62,29.0,25.0,M,F,2020,2,28
21,23.0,19.0,M,F,2020,4,15
42,76.0,25.0,M,F,2020,4,8
23,56.0,46.0,M,F,2020,2,13
12,30.0,28.0,M,F,2020,2,14
30,27.0,29.0,M,F,2020,1,3
29,37.0,25.0,M,F,2020,2,23
55,32.0,25.0,M,F,2020,2,24
30,48.0,47.0,M,F,2020,2,24
30,65.0,57.0,M,F,2020,2,24
30,28.0,23.0,M,F,2020,2,24
30,48.0,49.0,M,F,2020,2,24
3,22.0,19.0,M,F,2020,2,25
42,23.0,19.0,M,F,2020,3,6
18,68.0,65.0,M,F,2020,2,6
17,33.0,36.0,M,F,2020,2,6
18,22.0,25.0,M,F,2020,2,6
30,28.0,32.0,M,F,2020,2,6
30,31.0,23.0,M,F,2020,2,19
30,18.0,18.0,M,F,2020,2,20
43,41.0,32.0,M,F,2020,2,20
43,42.0,33.0,M,F,2020,2,20
71,25.0,41.0,M,F,2020,2,14
55,26.0,26.0,M,F,2020,2,14
18,67.0,65.0,M,F,2020,2,14
30,32.0,43.0,M,F,2020,2,17
29,23.0,25.0,M,F,2020,2,14
43,29.0,26.0,M,F,2020,2,21
51,31.0,38.0,M,F,2020,2,22
30,26.0,24.0,M,F,2020,2,23
71,20.0,19.0,M,F,2020,2,14
35,34.0,37.0,M,F,2020,2,14
29,31.0,33.0,M,F,2020,2,14
49,33.0,32.0,M,F,2020,2,14
30,25.0,20.0,M,F,2020,2,25
30,29.0,30.0,M,F,2020,2,25
30,29.0,34.0,M,F,2020,2,25
33,21.0,26.0,M,F,2020,2,25
25,37.0,37.0,M,F,2020,2,28
30,32.0,29.0,M,F,2020,2,25
52,33.0,28.0,M,F,2020,2,25
30,38.0,38.0,M,F,2020,2,25
52,34.0,29.0,M,F,2020,2,25
26,25.0,22.0,M,F,2020,2,20
41,18.0,18.0,M,F,2020,2,21
42,40.0,40.0,M,F,2020,2,20
30,29.0,28.0,M,F,2020,2,20
35,29.0,24.0,M,F,2020,3,18
