municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia-matrimonio
36,-,-,,,2023,1,6
29,36,39,M,F,2023,1,9
43,43,37,M,F,2023,1,11
30,-,29,M,F,2023,1,18
32,28,34,M,F,2023,1,1
6,64,56,M,F,2023,1,1
29,26,19,M,F,2023,1,1
18,24,23,M,F,2023,1,2
18,30,30,M,F,2023,1,2
18,59,58,M,F,2023,1,2
30,20,29,M,F,2023,1,2
18,33,34,M,F,2023,1,2
18,38,38,M,F,2023,1,2
18,23,21,M,F,2023,1,2
26,24,24,M,F,2023,1,2
18,33,26,M,F,2023,1,2
30,34,65,M,F,2023,1,2
30,25,22,M,F,2023,1,2
18,28,20,M,F,2023,1,2
18,24,22,M,F,2023,1,2
30,24,23,M,F,2023,1,2
55,34,35,M,F,2023,1,2
30,39,34,M,F,2023,1,2
58,32,30,M,F,2023,1,2
66,32,31,M,F,2023,1,2
55,20,19,M,F,2023,1,2
42,38,38,M,F,2023,1,2
26,33,22,M,F,2023,1,2
27,38,32,M,F,2023,1,2
55,29,26,M,F,2023,1,2
27,21,26,M,F,2023,1,2
56,50,41,M,F,2023,1,2
29,34,25,M,F,2023,1,3
72,53,47,M,F,2023,1,3
29,39,33,M,F,2023,1,3
29,41,25,M,F,2023,1,3
29,41,41,M,F,2023,1,3
18,23,39,M,F,2023,1,3
29,42,31,M,F,2023,1,3
29,26,36,M,F,2023,1,3
30,30,30,M,F,2023,1,3
12,26,26,M,F,2023,1,3
30,23,20,M,F,2023,1,3
55,24,25,M,F,2023,1,3
55,71,58,M,F,2023,1,3
30,29,24,M,F,2023,1,3
30,29,29,M,F,2023,1,3
55,55,49,M,F,2023,1,3
18,42,34,M,F,2023,1,3
42,29,26,M,F,2023,1,3
50,24,21,M,F,2023,1,3
55,49,47,M,F,2023,1,3
55,20,21,M,F,2023,1,3
30,24,27,M,F,2023,1,3
18,25,19,M,F,2023,1,3
55,23,22,M,F,2023,1,3
26,25,22,M,F,2023,1,3
42,73,51,M,F,2023,1,3
18,25,24,M,F,2023,1,4
18,30,29,M,F,2023,1,4
18,30,30,M,F,2023,1,4
48,31,30,M,F,2023,1,5
30,29,33,M,F,2023,1,4
29,41,40,M,F,2023,1,4
30,46,49,M,F,2023,1,4
55,33,31,M,F,2023,1,4
18,41,35,M,F,2023,1,4
48,52,40,M,F,2023,1,5
19,30,31,M,F,2023,1,4
42,26,25,M,F,2023,1,4
18,38,44,M,F,2023,1,4
29,54,56,M,F,2023,1,4
30,31,28,M,F,2023,1,4
30,31,35,M,F,2023,1,4
30,31,31,M,F,2023,1,4
30,23,24,M,F,2023,1,4
42,50,38,M,F,2023,1,4
33,34,35,M,F,2023,1,4
21,27,29,M,F,2023,1,5
27,29,23,M,F,2023,1,4
63,26,24,M,F,2023,1,4
55,36,45,M,F,2023,1,5
27,40,46,M,F,2023,1,4
30,56,64,M,F,2023,1,5
