municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia-matrimonio
30,60,49,M,F,2023,1,5
41,52,34,M,F,2023,1,5
30,33,33,M,F,2023,1,5
42,26,26,M,F,2023,1,5
30,20,26,F,M,2023,1,5
25,29,26,M,F,2023,1,5
30,49,37,M,F,2023,1,5
30,41,29,M,F,2023,1,5
47,60,54,M,F,2023,1,5
55,24,20,M,F,2023,1,5
42,30,29,M,F,2023,1,5
30,49,41,M,F,2023,1,5
41,24,24,M,F,2023,1,5
42,24,24,M,F,2023,1,5
58,47,47,M,F,2023,1,5
51,27,23,M,F,2023,1,5
27,21,22,M,F,2023,1,5
30,29,24,M,F,2023,1,5
3,25,27,M,F,2023,1,5
30,32,28,M,F,2023,1,5
30,43,40,M,M,2023,1,6
30,28,28,M,F,2023,1,6
18,27,26,M,F,2023,1,6
30,38,28,M,F,2023,1,6
18,33,33,M,F,2023,1,6
42,40,31,M,F,2023,1,6
18,36,45,M,F,2023,1,6
30,41,35,F,F,2023,1,6
55,23,19,M,F,2023,1,6
18,34,22,M,F,2023,1,6
33,29,28,M,F,2023,1,6
72,24,24,M,F,2023,1,6
55,25,22,M,F,2023,1,6
18,29,30,M,F,2023,1,6
30,21,20,M,F,2023,1,6
55,30,19,M,F,2023,1,6
30,26,27,M,F,2023,1,6
42,33,32,M,F,2023,1,6
25,23,20,M,F,2023,1,6
30,67,62,M,F,2023,1,6
69,35,29,M,F,2023,1,6
55,27,23,M,F,2023,1,6
29,45,36,M,F,2023,1,6
12,63,57,M,F,2023,1,6
55,26,22,M,F,2023,1,6
18,48,41,M,F,2023,1,6
58,20,20,M,F,2023,1,7
29,25,22,M,F,2023,1,6
30,32,26,M,F,2023,1,6
30,29,32,M,M,2023,1,6
56,37,37,M,F,2023,1,6
30,36,27,M,F,2023,1,6
47,25,26,M,F,2023,1,6
55,24,25,M,F,2023,1,6
18,23,22,M,F,2023,1,6
18,33,32,M,F,2023,1,6
55,24,23,M,F,2023,1,6
18,23,27,M,F,2023,1,6
26,24,21,M,F,2023,1,6
30,28,28,M,F,2023,1,7
42,31,30,M,F,2023,1,6
26,22,20,M,F,2023,1,6
18,60,49,M,F,2023,1,8
47,25,21,M,F,2023,1,6
37,26,21,M,F,2023,1,6
30,52,49,M,F,2023,1,7
36,25,25,M,F,2023,1,6
55,27,24,M,F,2023,1,6
18,21,23,M,F,2023,1,6
18,54,50,M,F,2023,1,6
12,52,43,M,F,2023,1,6
30,42,41,M,F,2023,1,9
56,25,24,M,F,2023,1,6
18,45,38,M,F,2023,1,6
30,29,30,M,F,2023,1,6
35,26,19,M,F,2023,1,6
12,37,35,M,F,2023,1,6
55,27,30,M,F,2023,1,6
42,31,22,M,F,2023,1,6
19,72,32,M,F,2023,1,6
21,76,38,M,F,2023,1,6
33,30,29,M,F,2023,1,6
29,28,40,M,M,2023,1,7
42,34,31,M,F,2023,1,7
29,27,22,M,F,2023,1,7
56,25,25,M,F,2023,1,7
38,53,41,M,F,2023,1,7
21,30,27,M,F,2023,1,7
46,18,20,M,F,2023,1,7
10,61,63,M,F,2023,1,8
21,48,46,M,F,2023,1,9
29,60,54,M,F,2023,1,8
43,25,29,M,F,2023,1,9
30,23,21,M,F,2023,1,9
55,31,36,M,F,2023,1,9
18,25,25,M,F,2023,1,9
30,39,37,M,F,2023,1,9
30,36,34,M,F,2023,1,9
55,25,23,M,F,2023,1,9
30,58,45,F,F,2023,1,9
55,31,26,M,F,2023,1,9
41,21,31,M,F,2023,1,9
30,42,31,M,F,2023,1,9
30,28,26,M,F,2023,1,9
18,35,37,M,F,2023,1,9
30,24,24,M,F,2023,1,9
30,27,24,M,F,2023,1,9
43,29,21,M,F,2023,1,9
29,37,28,M,F,2023,1,9
30,52,54,M,F,2023,1,9
30,47,41,M,F,2023,1,10
12,55,55,M,F,2023,1,10
18,34,22,M,F,2023,1,10
30,41,36,M,F,2023,1,10
30,46,40,M,F,2023,1,10
30,47,47,M,F,2023,1,10
30,46,39,M,F,2023,1,10
30,20,23,M,F,2023,1,10
30,23,21,M,F,2023,1,10
30,26,27,M,F,2023,1,10
30,30,28,M,F,2023,1,10
55,21,31,M,F,2023,1,10
30,24,24,M,F,2023,1,10
43,29,26,M,F,2023,1,10
30,49,40,M,F,2023,1,10
55,34,54,M,F,2023,1,10
47,40,28,M,F,2023,1,10
55,37,22,M,F,2023,1,10
5,26,29,M,F,2023,1,10
66,56,49,M,F,2023,1,10
25,25,22,M,F,2023,1,10
18,31,26,M,F,2023,1,10
35,24,19,M,F,2023,1,10
21,56,60,M,F,2023,1,10
21,35,31,M,F,2023,1,11
30,29,29,M,F,2023,1,11
55,48,49,M,F,2023,1,11
27,63,42,M,F,2023,1,11
30,27,19,M,F,2023,1,11
55,24,18,M,F,2023,1,11
55,18,20,M,F,2023,1,11
30,27,28,M,F,2023,1,11
30,19,18,M,F,2023,1,11
71,25,25,M,F,2023,1,11
29,24,30,M,F,2023,1,11
55,22,19,M,F,2023,1,11
25,25,24,M,F,2023,1,11
30,74,54,M,F,2023,1,11
43,25,23,M,F,2023,1,11
18,24,31,M,F,2023,1,11
30,25,24,M,F,2023,1,11
55,41,36,M,F,2023,1,11
42,50,53,M,F,2023,1,11
55,32,31,M,F,2023,1,11
30,30,24,F,F,2023,1,11
30,27,22,M,F,2023,1,11
17,26,24,M,F,2023,1,11
55,44,27,M,F,2023,1,11
30,60,58,M,F,2023,1,11
55,27,29,M,F,2023,1,11
18,49,50,M,F,2023,1,11
55,28,30,M,F,2023,1,11
29,46,48,M,F,2023,1,11
3,22,22,M,F,2023,1,11
19,24,19,M,F,2023,1,12
21,50,41,M,F,2023,1,12
30,62,46,M,F,2023,1,12
30,65,50,M,F,2023,1,12
29,65,41,M,F,2023,1,12
30,32,37,F,F,2023,1,12
30,30,34,M,F,2023,1,12
59,63,57,M,F,2023,1,12
55,24,29,M,F,2023,1,12
18,33,25,M,F,2023,1,12
43,26,27,M,F,2023,1,12
30,40,26,M,F,2023,1,12
30,30,28,M,F,2023,1,12
29,35,39,M,F,2023,1,12
43,30,39,M,F,2023,1,12
42,22,20,M,F,2023,1,12
30,35,31,M,F,2023,1,12
56,20,20,M,F,2023,1,12
30,27,27,M,F,2023,1,12
12,62,47,M,F,2023,1,12
42,45,48,M,F,2023,1,12
25,23,24,M,F,2023,1,12
30,24,25,M,F,2023,1,12
55,30,27,M,F,2023,1,12
19,29,32,M,F,2023,1,13
66,29,30,M,F,2023,1,12
25,31,31,M,F,2023,1,12
55,24,19,M,F,2023,1,12
48,21,21,M,F,2023,1,13
27,42,46,M,F,2023,1,12
2,26,28,M,F,2023,1,13
30,31,20,M,F,2023,1,13
30,25,25,M,F,2023,1,13
55,22,19,M,F,2023,1,13
72,53,54,M,F,2023,1,13
19,33,32,M,F,2023,1,13
55,20,19,M,F,2023,1,13
55,43,45,M,F,2023,1,13
23,30,26,M,F,2023,1,13
30,53,48,M,F,2023,1,13
30,23,22,M,F,2023,1,13
3,25,25,M,F,2023,1,13
55,28,26,M,F,2023,1,13
18,41,32,M,F,2023,1,13
29,42,37,M,F,2023,1,13
18,21,24,M,F,2023,1,13
30,27,26,M,F,2023,1,13
55,29,30,M,F,2023,1,13
30,34,36,M,F,2023,1,13
18,41,39,M,F,2023,1,13
70,38,26,M,F,2023,1,13
55,26,34,M,F,2023,1,13
55,32,29,M,F,2023,1,13
18,21,20,M,F,2023,1,13
17,26,22,M,F,2023,1,13
30,35,38,M,F,2023,1,13
55,27,33,M,F,2023,1,13
30,63,52,M,F,2023,1,13
30,30,25,M,F,2023,1,13
66,42,43,M,F,2023,1,13
30,35,32,M,F,2023,1,14
29,24,20,M,F,2023,1,13
47,22,24,M,F,2023,1,13
25,54,49,M,F,2023,1,13
33,31,25,M,F,2023,1,13
55,21,19,M,F,2023,1,13
30,52,41,M,F,2023,1,13
30,26,25,M,F,2023,1,13
29,24,23,M,F,2023,1,13
18,28,28,M,F,2023,1,13
18,27,27,M,F,2023,1,13
25,57,56,M,F,2023,1,13
47,40,44,M,F,2023,1,13
12,38,34,M,F,2023,1,13
56,22,22,M,F,2023,1,13
18,43,41,M,F,2023,1,13
18,26,26,M,F,2023,1,13
18,31,25,M,F,2023,1,14
30,33,42,M,F,2023,1,14
55,23,18,M,F,2023,1,13
30,37,18,M,F,2023,1,13
18,75,56,M,F,2023,1,14
35,67,61,M,F,2023,1,13
42,35,30,M,F,2023,1,13
3,31,29,M,F,2023,1,13
21,49,25,M,F,2023,1,14
42,31,30,M,F,2023,1,14
70,35,35,M,F,2023,1,14
27,38,30,M,F,2023,1,14
48,65,57,M,F,2023,1,16
27,27,20,M,F,2023,1,14
27,22,21,M,F,2023,1,14
27,44,28,M,F,2023,1,14
27,20,20,M,F,2023,1,14
35,26,25,M,F,2023,1,14
45,55,28,M,F,2023,1,14
46,26,19,M,F,2023,1,14
55,25,32,M,F,2023,1,15
42,50,48,M,F,2023,1,15
69,34,25,M,F,2023,1,16
30,31,28,M,F,2023,1,16
30,59,59,M,F,2023,1,16
55,35,33,M,F,2023,1,16
29,25,25,M,F,2023,1,16
30,26,45,M,F,2023,1,16
18,68,54,M,F,2023,1,16
30,24,25,M,F,2023,1,16
55,23,27,M,F,2023,1,16
30,31,28,M,F,2023,1,16
43,31,38,M,F,2023,1,16
30,27,24,M,F,2023,1,16
55,24,27,M,F,2023,1,16
30,61,56,M,F,2023,1,16
30,58,55,M,F,2023,1,16
30,33,32,M,F,2023,1,16
30,33,38,M,F,2023,1,16
30,19,19,M,F,2023,1,16
43,29,22,M,F,2023,1,16
33,48,26,M,F,2023,1,16
55,26,21,M,F,2023,1,16
42,39,35,M,F,2023,1,16
55,40,46,M,F,2023,1,16
26,27,23,M,F,2023,1,16
26,23,22,M,F,2023,1,16
30,33,34,M,F,2023,1,16
55,29,27,M,F,2023,1,16
18,34,35,M,F,2023,1,16
35,23,25,M,F,2023,1,16
43,19,20,M,F,2023,1,16
43,82,52,M,F,2023,1,16
18,18,19,M,F,2023,1,17
30,45,44,M,F,2023,1,16
55,22,20,M,F,2023,1,16
18,40,39,M,F,2023,1,17
35,22,22,M,F,2023,1,16
3,65,45,M,F,2023,1,16
48,20,23,M,F,2023,1,17
45,29,31,M,F,2023,1,16
48,25,27,M,F,2023,1,18
18,40,37,M,F,2023,1,17
18,37,30,M,F,2023,1,17
18,38,32,M,F,2023,1,17
48,62,55,M,F,2023,1,18
55,63,60,M,F,2023,1,17
30,27,28,M,F,2023,1,17
29,49,35,M,F,2023,1,17
30,59,36,M,F,2023,1,17
30,47,37,M,F,2023,1,17
30,21,21,M,F,2023,1,17
42,30,27,M,F,2023,1,17
43,27,29,M,F,2023,1,17
26,60,49,M,F,2023,1,17
30,29,22,M,F,2023,1,17
43,38,39,M,F,2023,1,17
18,24,24,M,F,2023,1,17
30,25,24,M,F,2023,1,17
42,31,31,M,F,2023,1,17
30,26,24,M,F,2023,1,17
18,31,30,M,F,2023,1,17
42,31,30,M,F,2023,1,17
43,21,21,M,F,2023,1,17
30,28,29,M,F,2023,1,17
30,46,55,M,F,2023,1,17
30,32,31,M,F,2023,1,17
43,23,25,M,F,2023,1,17
33,34,27,M,F,2023,1,17
55,31,34,F,F,2023,1,17
35,24,30,M,F,2023,1,17
43,39,34,M,F,2023,1,17
33,43,39,M,F,2023,1,17
30,27,32,M,F,2023,1,18
30,40,35,M,F,2023,1,18
55,48,42,M,F,2023,1,18
55,49,39,M,F,2023,1,18
18,67,60,M,F,2023,1,18
30,27,24,M,F,2023,1,18
30,26,28,M,F,2023,1,18
30,39,34,M,F,2023,1,18
55,51,55,M,F,2023,1,18
30,58,48,M,F,2023,1,18
29,42,33,M,F,2023,1,18
55,47,38,M,F,2023,1,18
25,35,27,M,F,2023,1,18
55,73,50,M,F,2023,1,18
30,69,70,M,F,2023,1,18
43,50,50,M,F,2023,1,18
30,28,23,M,F,2023,1,18
30,29,25,M,F,2023,1,18
55,42,44,M,F,2023,1,18
35,32,24,M,F,2023,1,18
55,55,33,M,F,2023,1,18
18,28,30,M,F,2023,1,18
47,47,42,M,F,2023,1,18
30,32,27,M,F,2023,1,18
30,44,46,M,F,2023,1,18
43,32,27,M,F,2023,1,18
55,62,57,M,F,2023,1,18
42,37,44,M,F,2023,1,18
41,54,38,M,F,2023,1,18
55,19,18,M,F,2023,1,18
25,62,49,M,F,2023,1,18
27,43,24,M,F,2023,1,18
55,66,52,M,F,2023,1,18
48,56,63,M,F,2023,1,19
35,68,67,M,F,2023,1,18
55,28,39,M,F,2023,1,18
27,32,35,M,F,2023,1,18
21,28,20,M,F,2023,1,19
18,49,45,M,F,2023,1,19
18,30,29,M,F,2023,1,19
72,21,25,M,F,2023,1,19
30,64,41,M,F,2023,1,19
30,60,56,M,F,2023,1,19
30,29,29,M,F,2023,1,19
29,73,62,M,F,2023,1,19
30,27,25,M,F,2023,1,19
55,21,19,M,F,2023,1,19
42,69,56,M,F,2023,1,19
30,29,29,M,F,2023,1,19
30,38,30,M,F,2023,1,19
55,59,43,M,F,2023,1,20
30,57,69,M,F,2023,1,23
30,57,43,M,F,2023,1,23
43,25,26,M,F,2023,1,19
55,30,27,M,F,2023,1,19
30,21,19,M,F,2023,1,19
2,29,28,M,F,2023,1,19
29,68,63,M,F,2023,1,25
18,73,-,F,,2023,1,27
30,22,24,M,F,2023,1,19
55,28,23,M,F,2023,1,19
30,23,24,M,F,2023,1,19
30,39,43,M,F,2023,1,19
29,71,70,M,F,2023,2,1
26,59,-,M,,2023,2,3
55,30,37,M,F,2023,1,19
35,21,18,M,F,2023,1,19
43,40,36,M,F,2023,2,7
30,41,35,M,F,2023,2,8
43,-,-,M,F,2023,2,8
69,-,-,F,M,2023,2,13
43,27,26,M,F,2023,1,19
55,26,22,M,F,2023,1,19
29,61,59,M,F,2023,2,14
30,34,33,M,F,2023,1,19
30,26,23,M,F,2023,1,19
33,31,19,M,F,2023,1,19
30,23,20,M,F,2023,1,19
36,52,38,F,F,2023,1,19
18,38,22,M,F,2023,1,19
30,41,42,M,F,2023,1,19
43,26,25,M,F,2023,1,19
55,55,46,M,F,2023,1,19
35,38,37,M,F,2023,1,19
55,27,23,M,F,2023,1,19
29,26,23,M,F,2023,1,19
30,64,53,M,F,2023,1,21
18,39,43,M,F,2023,1,20
18,38,29,M,F,2023,1,20
30,40,50,M,F,2023,1,21
48,36,28,M,F,2023,1,20
42,26,25,M,F,2023,1,21
18,20,18,M,F,2023,1,20
47,26,22,M,F,2023,1,20
18,56,54,M,F,2023,1,20
18,32,33,M,F,2023,1,20
30,50,46,M,F,2023,1,20
55,35,31,M,F,2023,1,20
18,22,22,M,F,2023,1,20
47,26,26,M,F,2023,1,20
18,23,23,M,F,2023,1,20
18,36,32,M,F,2023,1,21
55,30,33,M,F,2023,1,20
19,36,35,M,F,2023,1,20
30,46,41,M,F,2023,1,20
55,23,23,M,F,2023,1,20
35,21,23,M,F,2023,1,20
29,40,44,M,F,2023,1,20
30,33,28,M,F,2023,1,20
55,19,18,M,F,2023,1,20
18,60,58,M,F,2023,1,20
42,21,22,M,M,2023,1,20
30,25,21,M,F,2023,1,20
30,48,52,M,F,2023,1,20
18,29,29,M,F,2023,1,20
35,46,46,M,F,2023,1,20
18,60,53,M,F,2023,1,20
55,30,21,M,F,2023,1,20
55,43,40,M,F,2023,1,20
43,60,59,M,F,2023,1,20
30,29,26,M,F,2023,1,20
18,36,28,M,F,2023,1,20
55,60,51,M,F,2023,1,20
30,24,25,M,F,2023,1,20
18,29,29,M,F,2023,1,20
30,26,27,M,F,2023,1,21
55,45,46,M,F,2023,1,20
26,31,25,M,F,2023,1,20
55,32,22,M,F,2023,1,20
71,32,27,M,F,2023,1,20
25,22,19,M,F,2023,1,20
47,37,36,M,F,2023,1,20
36,41,27,M,I,2023,1,20
55,27,21,M,F,2023,1,20
35,27,25,M,F,2023,1,20
37,26,26,M,F,2023,1,20
18,40,44,M,F,2023,1,20
36,24,22,M,F,2023,1,20
55,23,23,M,F,2023,1,20
55,22,24,M,F,2023,1,20
25,30,31,M,F,2023,1,20
33,46,38,M,F,2023,1,20
12,63,47,M,F,2023,1,20
35,30,53,M,F,2023,1,20
55,36,29,M,F,2023,1,20
42,58,33,M,F,2023,1,20
27,41,52,M,F,2023,1,20
30,22,27,M,F,2023,1,20
55,68,46,M,F,2023,1,20
30,31,32,M,F,2023,1,21
29,51,51,M,F,2023,1,20
29,27,25,M,F,2023,1,20
12,33,25,M,F,2023,1,20
30,27,28,M,F,2023,1,21
55,20,23,M,F,2023,1,20
18,25,24,M,F,2023,1,20
42,33,30,M,F,2023,1,20
21,50,52,M,F,2023,1,21
21,21,23,M,F,2023,1,21
30,32,29,M,F,2023,1,21
30,57,58,M,F,2023,1,21
27,65,64,M,F,2023,1,21
35,18,18,M,F,2023,1,21
27,28,30,M,F,2023,1,21
29,24,25,M,F,2023,1,21
27,23,23,M,F,2023,1,21
70,27,29,M,F,2023,1,21
27,30,36,M,F,2023,1,21
55,46,49,M,F,2023,1,21
42,46,44,M,F,2023,1,22
29,27,22,M,F,2023,1,22
29,36,34,M,F,2023,1,22
29,28,26,M,F,2023,1,22
29,34,29,M,F,2023,1,23
55,42,40,M,F,2023,1,23
18,33,38,M,F,2023,1,23
3,54,47,M,F,2023,1,23
48,24,25,M,F,2023,1,24
43,20,20,M,F,2023,1,23
55,30,32,F,F,2023,1,23
30,29,38,M,F,2023,1,23
33,31,28,M,F,2023,1,23
42,68,49,M,F,2023,1,23
30,60,53,M,F,2023,1,23
30,26,27,M,F,2023,1,23
30,50,43,M,F,2023,1,23
30,29,45,M,F,2023,1,23
27,59,50,M,F,2023,1,23
30,42,40,M,F,2023,1,23
50,25,20,M,F,2023,1,23
41,24,26,M,F,2023,1,23
30,72,67,M,F,2023,1,23
30,28,25,M,F,2023,1,23
55,31,22,M,F,2023,1,23
30,45,42,M,F,2023,1,23
55,48,37,M,F,2023,1,23
43,33,22,M,F,2023,1,23
55,24,21,M,F,2023,1,23
25,26,29,M,F,2023,1,23
27,43,30,M,F,2023,1,23
43,52,49,M,F,2023,1,23
58,21,20,M,F,2023,1,23
55,25,25,M,F,2023,1,23
71,48,37,M,F,2023,1,23
42,35,34,M,F,2023,1,23
55,53,48,M,F,2023,1,23
55,24,26,M,F,2023,1,23
55,60,58,M,F,2023,1,24
55,48,51,M,F,2023,1,24
71,36,45,M,M,2023,1,24
30,26,25,M,F,2023,1,24
43,22,19,M,F,2023,1,24
55,31,20,M,F,2023,1,24
30,31,24,M,F,2023,1,24
30,27,28,M,F,2023,1,24
30,61,61,M,M,2023,1,24
55,30,31,M,F,2023,1,24
30,59,56,M,F,2023,1,24
30,67,58,M,F,2023,1,24
43,21,18,M,F,2023,1,24
55,36,24,M,F,2023,1,24
30,23,21,M,F,2023,1,24
25,61,63,M,F,2023,1,24
41,28,23,M,F,2023,1,24
30,27,23,M,F,2023,1,24
18,30,19,M,F,2023,1,24
43,66,61,M,F,2023,1,24
35,46,46,M,F,2023,1,24
55,21,21,M,F,2023,1,24
43,26,26,M,F,2023,1,25
30,38,30,M,F,2023,1,24
56,33,29,M,F,2023,1,24
55,61,46,M,F,2023,1,25
19,38,27,M,F,2023,1,25
30,62,65,M,F,2023,1,25
43,33,34,M,F,2023,1,25
30,69,30,M,F,2023,1,25
30,29,28,M,F,2023,1,25
18,29,24,M,F,2023,1,25
30,28,28,M,F,2023,1,25
30,33,32,M,F,2023,1,25
43,62,65,M,F,2023,1,25
30,51,45,M,F,2023,1,25
18,46,34,M,F,2023,1,25
18,23,21,M,F,2023,1,25
29,66,30,M,F,2023,1,25
41,36,36,M,F,2023,1,25
48,56,39,M,F,2023,1,26
27,62,60,M,F,2023,1,23
18,28,25,M,F,2023,1,26
18,29,24,M,F,2023,1,26
30,34,30,M,F,2023,1,26
66,45,38,M,F,2023,1,26
30,23,21,M,F,2023,1,26
30,26,25,M,F,2023,1,26
30,32,32,M,F,2023,1,26
42,28,18,M,F,2023,1,26
43,27,32,M,F,2023,1,26
18,26,26,M,F,2023,1,26
30,66,47,M,F,2023,1,26
30,47,54,M,F,2023,1,26
55,76,53,M,F,2023,1,26
21,35,40,M,F,2023,1,26
18,26,26,M,F,2023,1,26
30,27,27,M,F,2023,1,26
30,47,33,M,F,2023,1,26
55,28,24,M,F,2023,1,26
30,28,22,M,F,2023,1,26
29,56,50,M,F,2023,1,26
30,50,44,M,F,2023,1,26
18,34,31,M,F,2023,1,26
30,29,26,M,F,2023,1,26
43,27,26,M,F,2023,1,26
55,24,21,M,F,2023,1,26
25,47,46,M,F,2023,1,26
30,33,38,M,F,2023,1,26
30,34,34,M,F,2023,1,26
55,55,47,M,F,2023,1,26
30,27,25,M,F,2023,1,26
55,27,22,M,F,2023,1,26
25,34,31,M,F,2023,1,26
18,40,27,M,F,2023,1,29
55,30,32,M,F,2023,1,26
43,47,53,M,F,2023,1,26
35,58,59,M,F,2023,1,26
55,29,38,M,F,2023,1,26
30,37,27,M,F,2023,1,27
42,22,30,F,F,2023,1,26
48,31,28,M,F,2023,1,27
43,40,32,M,F,2023,1,26
2,22,18,M,F,2023,1,26
42,49,44,M,F,2023,1,26
48,34,22,M,F,2023,1,27
30,29,29,M,F,2023,1,27
55,59,46,M,F,2023,1,26
71,27,24,M,F,2023,1,26
20,40,26,M,F,2023,1,26
42,26,22,M,F,2023,1,27
18,25,24,M,F,2023,1,27
56,22,20,M,F,2023,1,27
55,33,22,M,F,2023,1,27
19,50,42,F,F,2023,1,27
18,25,23,M,F,2023,1,27
55,25,20,M,F,2023,1,27
17,50,27,M,F,2023,1,27
18,26,24,M,F,2023,1,27
29,24,21,M,F,2023,1,27
55,24,24,M,F,2023,1,27
42,23,23,M,F,2023,1,27
30,29,33,F,F,2023,1,27
35,75,70,M,F,2023,1,27
21,21,21,M,F,2023,1,27
55,25,24,M,F,2023,1,27
12,24,31,M,F,2023,1,27
42,58,34,M,F,2023,1,27
42,30,27,M,F,2023,1,27
18,32,38,M,F,2023,1,27
55,22,20,M,F,2023,1,27
42,66,64,M,F,2023,1,27
18,43,38,M,F,2023,1,27
26,-,27,M,F,2023,1,27
29,63,52,M,F,2023,1,27
30,18,18,M,F,2023,1,27
29,25,24,M,F,2023,1,27
30,27,23,M,F,2023,1,27
30,39,42,M,F,2023,1,27
35,22,24,M,F,2023,1,27
55,28,33,M,F,2023,1,27
33,60,67,M,F,2023,1,27
30,34,31,M,F,2023,1,27
18,20,35,M,F,2023,1,27
30,38,32,M,F,2023,1,27
18,28,21,M,F,2023,1,27
30,27,24,M,F,2023,1,27
66,46,49,M,F,2023,1,27
12,53,51,M,F,2023,1,27
55,20,20,M,F,2023,1,27
70,25,25,M,F,2023,1,27
30,32,30,M,F,2023,1,28
30,33,29,M,F,2023,1,27
18,38,30,M,F,2023,1,27
35,41,26,M,F,2023,1,27
42,26,21,M,F,2023,1,27
30,30,33,M,F,2023,1,27
26,47,24,M,F,2023,1,27
12,39,38,M,F,2023,1,27
55,33,29,M,F,2023,1,27
30,33,27,M,F,2023,1,27
30,32,28,M,F,2023,1,27
55,27,21,M,F,2023,1,27
36,47,40,M,F,2023,1,27
30,55,32,F,F,2023,1,28
47,23,24,M,F,2023,1,27
55,24,20,M,F,2023,1,27
35,65,61,M,F,2023,1,27
18,30,29,F,F,2023,1,27
41,33,29,M,F,2023,1,27
66,36,31,M,F,2023,1,27
55,23,22,M,F,2023,1,27
70,26,25,M,F,2023,1,27
55,41,28,M,F,2023,1,27
55,39,37,M,F,2023,1,27
71,25,26,M,F,2023,1,27
30,40,40,M,F,2023,1,27
30,36,28,M,F,2023,1,27
33,28,21,M,F,2023,1,27
29,27,23,M,F,2023,1,27
21,25,24,M,F,2023,1,28
37,33,34,M,F,2023,1,28
21,64,59,M,F,2023,1,28
21,62,58,I,F,2023,1,28
27,39,37,M,F,2023,1,28
29,47,45,M,F,2023,1,28
27,69,71,M,F,2023,1,28
27,24,26,M,F,2023,1,28
42,40,38,M,F,2023,1,28
27,33,32,M,F,2023,1,28
27,23,21,M,F,2023,1,29
29,45,31,M,F,2023,1,29
29,59,58,M,F,2023,1,29
18,30,29,M,F,2023,1,30
30,34,30,M,F,2023,1,30
55,26,29,M,F,2023,1,30
48,63,46,M,F,2023,1,30
29,32,30,M,F,2023,1,30
18,45,32,M,F,2023,1,30
30,43,33,M,F,2023,1,30
55,60,59,M,F,2023,1,30
43,57,48,M,F,2023,1,30
29,26,26,M,F,2023,1,30
30,26,23,M,F,2023,1,30
43,21,21,M,F,2023,1,30
30,27,29,M,F,2023,1,30
29,35,30,M,F,2023,1,30
55,51,36,M,F,2023,1,30
30,30,27,M,F,2023,1,30
42,36,27,M,F,2023,1,30
70,19,18,M,F,2023,1,30
