municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
29,24.0,23.0,M,F,2021,2,5
42,28.0,25.0,M,F,2021,2,6
30,35.0,33.0,M,F,2021,1,11
30,,,M,F,2021,1,14
30,,,M,F,2021,1,14
30,36.0,29.0,M,F,2021,1,15
33,31.0,37.0,M,F,2021,1,29
33,78.0,56.0,M,F,2021,2,4
42,28.0,26.0,M,F,2021,1,2
18,34.0,28.0,M,F,2021,1,2
21,48.0,48.0,M,F,2021,1,5
42,24.0,23.0,M,F,2021,1,2
27,23.0,28.0,M,F,2021,1,1
42,30.0,28.0,M,F,2021,1,2
51,41.0,28.0,M,F,2021,1,1
33,27.0,28.0,M,F,2021,1,6
33,46.0,37.0,M,F,2021,1,6
13,57.0,49.0,M,F,2021,1,2
27,31.0,28.0,M,F,2021,1,2
68,27.0,23.0,M,F,2021,1,2
43,18.0,18.0,M,F,2021,1,2
42,26.0,26.0,M,F,2021,1,2
27,46.0,68.0,M,F,2021,1,3
42,40.0,41.0,M,F,2021,1,2
30,25.0,24.0,M,F,2021,1,2
55,73.0,36.0,M,F,2021,1,4
18,29.0,31.0,M,F,2021,1,4
18,27.0,25.0,M,F,2021,1,4
18,27.0,26.0,M,F,2021,1,4
12,29.0,27.0,M,F,2021,1,4
18,29.0,28.0,M,F,2021,1,4
26,26.0,26.0,M,F,2021,1,4
72,33.0,19.0,M,F,2021,1,4
55,24.0,24.0,M,F,2021,1,4
55,32.0,18.0,M,F,2021,1,4
38,47.0,43.0,M,F,2021,1,4
16,51.0,47.0,M,F,2021,1,4
42,24.0,25.0,M,F,2021,1,4
18,43.0,49.0,M,F,2021,1,5
12,45.0,35.0,M,F,2021,1,5
18,25.0,27.0,M,F,2021,1,5
55,34.0,37.0,M,F,2021,1,5
18,30.0,28.0,M,F,2021,1,5
39,24.0,29.0,M,F,2021,1,5
18,26.0,26.0,M,F,2021,1,5
18,41.0,37.0,M,F,2021,1,5
18,37.0,28.0,M,F,2021,1,5
18,57.0,43.0,M,F,2021,1,5
21,61.0,39.0,M,F,2021,1,6
13,29.0,21.0,M,F,2021,1,6
42,24.0,21.0,M,F,2021,1,6
30,30.0,26.0,M,F,2021,1,6
30,77.0,62.0,M,F,2021,1,6
30,41.0,40.0,M,F,2021,1,6
55,26.0,27.0,M,F,2021,1,6
55,40.0,37.0,M,F,2021,1,6
55,45.0,47.0,M,F,2021,1,6
48,41.0,30.0,M,F,2021,1,7
21,50.0,43.0,M,F,2021,1,7
18,33.0,34.0,M,F,2021,1,8
30,67.0,65.0,M,F,2021,1,7
33,31.0,27.0,M,F,2021,1,7
55,26.0,23.0,M,F,2021,1,7
30,59.0,60.0,M,F,2021,1,7
55,24.0,21.0,M,F,2021,1,7
12,65.0,45.0,M,F,2021,1,7
16,20.0,21.0,M,F,2021,1,7
55,25.0,23.0,M,F,2021,1,7
55,56.0,54.0,M,F,2021,1,7
53,38.0,39.0,M,F,2021,1,7
47,50.0,42.0,M,F,2021,1,7
30,57.0,40.0,M,F,2021,1,7
18,24.0,25.0,M,F,2021,1,7
42,21.0,20.0,M,F,2021,1,7
18,48.0,47.0,M,F,2021,1,7
42,52.0,53.0,M,F,2021,1,7
25,30.0,30.0,M,F,2021,1,7
55,34.0,22.0,M,F,2021,1,7
69,24.0,22.0,M,F,2021,1,7
43,23.0,23.0,M,F,2021,1,7
42,42.0,40.0,M,F,2021,1,8
30,21.0,22.0,M,F,2021,1,7
18,33.0,29.0,M,F,2021,1,8
18,31.0,28.0,M,F,2021,1,8
29,36.0,30.0,M,F,2021,1,8
55,36.0,29.0,M,F,2021,1,8
30,58.0,43.0,M,F,2021,1,8
30,31.0,38.0,M,F,2021,1,8
35,62.0,57.0,M,F,2021,1,8
55,28.0,26.0,M,F,2021,1,8
30,76.0,66.0,M,F,2021,1,8
42,18.0,19.0,M,F,2021,1,8
29,26.0,25.0,M,F,2021,1,8
18,26.0,25.0,M,F,2021,1,8
33,28.0,22.0,M,F,2021,1,8
30,27.0,26.0,M,F,2021,1,9
42,36.0,31.0,M,F,2021,1,8
29,21.0,22.0,M,F,2021,1,8
55,33.0,62.0,M,F,2021,1,8
55,55.0,55.0,M,F,2021,1,8
3,36.0,25.0,M,F,2021,1,8
55,23.0,23.0,M,F,2021,1,8
30,42.0,45.0,M,F,2021,1,9
55,27.0,20.0,M,F,2021,1,8
42,24.0,24.0,M,F,2021,1,8
18,66.0,59.0,M,F,2021,1,8
33,28.0,22.0,M,F,2021,1,8
55,20.0,27.0,M,F,2021,1,8
18,25.0,28.0,M,F,2021,1,8
55,40.0,45.0,M,F,2021,1,8
29,33.0,24.0,M,F,2021,1,8
2,25.0,23.0,M,F,2021,1,8
18,38.0,29.0,M,F,2021,1,8
30,28.0,26.0,M,F,2021,1,8
25,25.0,23.0,M,F,2021,1,8
55,27.0,35.0,M,F,2021,1,8
55,42.0,32.0,M,F,2021,1,8
30,28.0,28.0,M,F,2021,1,9
42,23.0,20.0,M,F,2021,1,8
42,21.0,43.0,M,F,2021,1,8
24,49.0,47.0,M,F,2021,1,8
12,21.0,20.0,M,F,2021,1,8
21,23.0,22.0,M,F,2021,1,9
55,42.0,34.0,M,F,2021,1,8
33,28.0,28.0,M,F,2021,1,8
21,31.0,31.0,M,F,2021,1,10
30,24.0,22.0,M,F,2021,1,9
42,58.0,42.0,M,F,2021,1,9
48,25.0,19.0,M,F,2021,1,11
30,27.0,34.0,M,F,2021,1,11
55,23.0,25.0,M,F,2021,1,11
12,22.0,25.0,M,F,2021,1,11
30,34.0,25.0,M,F,2021,1,11
42,26.0,21.0,M,F,2021,1,11
43,42.0,20.0,M,F,2021,1,11
55,23.0,24.0,M,F,2021,1,11
30,59.0,49.0,M,F,2021,1,11
30,40.0,28.0,M,F,2021,1,11
29,41.0,47.0,M,F,2021,1,11
29,25.0,26.0,M,F,2021,1,11
35,50.0,47.0,M,F,2021,1,11
18,21.0,21.0,M,F,2021,1,11
30,46.0,40.0,M,F,2021,1,11
47,22.0,18.0,M,F,2021,1,11
18,43.0,42.0,M,F,2021,1,11
30,26.0,22.0,M,F,2021,1,11
48,39.0,46.0,M,F,2021,1,12
38,30.0,28.0,M,F,2021,1,11
55,65.0,65.0,M,F,2021,1,12
42,40.0,32.0,M,F,2021,1,12
30,27.0,18.0,M,F,2021,1,12
30,25.0,23.0,M,F,2021,1,12
55,24.0,24.0,M,F,2021,1,12
55,76.0,46.0,M,F,2021,1,12
35,26.0,26.0,M,M,2021,1,12
3,39.0,38.0,M,F,2021,1,12
30,31.0,29.0,M,F,2021,1,12
46,55.0,37.0,M,F,2021,1,12
42,36.0,26.0,M,F,2021,1,12
18,39.0,27.0,M,F,2021,1,12
35,42.0,43.0,M,F,2021,1,12
48,43.0,44.0,M,F,2021,1,13
30,33.0,27.0,M,F,2021,1,12
26,44.0,44.0,M,F,2021,1,12
35,27.0,18.0,M,F,2021,1,12
26,24.0,20.0,M,F,2021,1,12
56,23.0,21.0,M,F,2021,1,12
30,66.0,45.0,M,F,2021,1,13
41,25.0,24.0,M,F,2021,1,13
18,27.0,28.0,M,F,2021,1,13
42,56.0,55.0,M,F,2021,1,13
30,39.0,36.0,M,F,2021,1,13
29,26.0,22.0,M,F,2021,1,13
71,42.0,44.0,M,F,2021,1,13
42,26.0,21.0,M,F,2021,1,13
18,60.0,50.0,M,F,2021,1,13
55,32.0,19.0,M,F,2021,1,13
35,43.0,53.0,M,F,2021,1,13
55,63.0,48.0,M,F,2021,1,13
42,49.0,43.0,M,F,2021,1,13
55,22.0,21.0,M,F,2021,1,13
42,60.0,46.0,M,F,2021,1,13
1,28.0,33.0,M,F,2021,1,14
2,23.0,20.0,M,F,2021,1,14
30,36.0,35.0,M,F,2021,1,14
30,29.0,28.0,M,F,2021,1,14
55,28.0,32.0,F,F,2021,1,14
30,41.0,33.0,M,F,2021,1,14
30,28.0,24.0,M,F,2021,1,14
43,20.0,18.0,M,F,2021,1,14
30,32.0,26.0,M,F,2021,1,14
55,51.0,54.0,M,F,2021,1,14
18,37.0,36.0,M,F,2021,1,14
55,62.0,53.0,M,F,2021,1,14
43,18.0,19.0,M,F,2021,1,14
30,31.0,27.0,M,F,2021,1,14
55,30.0,32.0,M,F,2021,1,14
42,25.0,24.0,M,F,2021,1,14
30,23.0,18.0,M,F,2021,1,14
43,42.0,33.0,M,F,2021,1,14
55,24.0,21.0,M,F,2021,1,14
18,31.0,32.0,M,F,2021,1,14
30,59.0,40.0,M,F,2021,1,14
30,28.0,27.0,M,F,2021,1,14
30,51.0,49.0,M,F,2021,1,14
33,45.0,43.0,M,F,2021,1,14
21,52.0,42.0,M,F,2021,1,15
42,39.0,37.0,M,F,2021,1,15
42,38.0,38.0,M,F,2021,1,15
33,45.0,29.0,M,F,2021,1,14
3,30.0,26.0,M,F,2021,1,15
3,26.0,35.0,M,F,2021,1,15
18,31.0,28.0,M,F,2021,1,15
42,34.0,19.0,M,F,2021,1,15
55,24.0,30.0,M,F,2021,1,15
41,23.0,21.0,M,F,2021,1,15
72,25.0,22.0,M,F,2021,1,15
18,23.0,22.0,M,F,2021,1,15
55,29.0,27.0,M,F,2021,1,15
43,25.0,25.0,M,F,2021,1,15
30,31.0,27.0,M,F,2021,1,15
55,41.0,42.0,M,F,2021,1,15
18,40.0,31.0,M,F,2021,1,15
47,55.0,35.0,M,F,2021,1,15
55,38.0,18.0,M,F,2021,1,15
55,33.0,27.0,M,F,2021,1,15
30,30.0,28.0,M,F,2021,1,15
43,44.0,38.0,M,F,2021,1,15
30,23.0,22.0,M,F,2021,1,15
30,34.0,29.0,M,F,2021,1,15
30,30.0,30.0,M,F,2021,1,15
42,42.0,36.0,M,F,2021,1,15
30,41.0,39.0,M,F,2021,1,19
5,28.0,30.0,M,F,2021,1,16
55,19.0,19.0,M,F,2021,1,15
30,48.0,45.0,M,F,2021,1,15
30,23.0,23.0,M,F,2021,1,15
18,31.0,31.0,M,F,2021,1,15
42,27.0,24.0,M,F,2021,1,15
47,21.0,21.0,M,F,2021,1,15
30,27.0,28.0,M,F,2021,1,15
55,36.0,31.0,M,F,2021,1,15
30,34.0,27.0,M,F,2021,1,15
18,27.0,25.0,M,F,2021,1,15
4,62.0,50.0,M,F,2021,1,15
59,25.0,30.0,M,F,2021,1,15
30,29.0,26.0,M,F,2021,1,15
18,32.0,30.0,M,F,2021,1,15
42,25.0,35.0,M,F,2021,1,15
30,26.0,28.0,M,F,2021,1,15
55,50.0,47.0,M,F,2021,1,15
58,27.0,25.0,M,F,2021,1,15
18,45.0,58.0,M,F,2021,1,15
26,27.0,28.0,M,F,2021,1,15
18,27.0,26.0,M,F,2021,1,15
30,22.0,21.0,M,F,2021,1,15
62,46.0,42.0,M,F,2021,1,15
72,25.0,27.0,M,F,2021,1,15
55,24.0,22.0,M,F,2021,1,15
43,41.0,25.0,M,F,2021,1,15
42,23.0,21.0,M,F,2021,1,15
42,26.0,25.0,M,F,2021,1,15
55,31.0,35.0,M,F,2021,1,15
35,22.0,21.0,M,F,2021,1,15
18,70.0,67.0,M,F,2021,1,15
55,20.0,19.0,M,F,2021,1,15
55,64.0,40.0,M,F,2021,1,15
58,30.0,28.0,M,F,2021,1,15
42,73.0,55.0,M,F,2021,1,15
18,29.0,31.0,M,F,2021,1,15
55,67.0,52.0,M,F,2021,1,15
30,30.0,29.0,M,F,2021,1,16
30,31.0,30.0,M,F,2021,1,16
42,60.0,67.0,M,F,2021,1,15
30,34.0,31.0,M,F,2021,1,15
55,31.0,27.0,M,F,2021,1,15
18,42.0,41.0,M,F,2021,1,15
30,33.0,28.0,M,F,2021,1,15
47,28.0,24.0,M,F,2021,1,15
42,35.0,39.0,M,F,2021,1,15
35,24.0,22.0,M,F,2021,1,15
42,59.0,54.0,M,F,2021,1,15
4,24.0,27.0,M,F,2021,1,15
14,29.0,28.0,M,F,2021,1,15
42,39.0,31.0,M,F,2021,1,15
35,21.0,19.0,M,F,2021,1,15
25,24.0,20.0,M,F,2021,1,15
25,31.0,27.0,M,F,2021,1,15
55,22.0,21.0,M,F,2021,1,15
33,30.0,19.0,M,F,2021,1,15
55,34.0,35.0,M,F,2021,1,15
55,34.0,34.0,M,F,2021,1,15
29,40.0,50.0,M,F,2021,1,15
55,22.0,20.0,M,F,2021,1,15
55,19.0,23.0,M,F,2021,1,15
55,28.0,28.0,M,F,2021,1,15
69,40.0,39.0,M,F,2021,1,15
21,22.0,21.0,M,F,2021,1,16
30,29.0,23.0,M,F,2021,1,16
30,30.0,22.0,M,F,2021,1,16
37,26.0,22.0,M,F,2021,1,16
42,24.0,20.0,M,F,2021,1,16
70,28.0,30.0,M,F,2021,1,16
30,30.0,29.0,M,F,2021,1,16
35,32.0,30.0,M,F,2021,1,16
55,26.0,26.0,M,F,2021,1,16
18,28.0,29.0,M,F,2021,1,16
55,55.0,49.0,M,F,2021,1,16
27,31.0,38.0,M,F,2021,1,17
55,37.0,36.0,M,F,2021,1,18
3,33.0,36.0,M,F,2021,1,18
56,41.0,29.0,M,F,2021,1,18
21,23.0,31.0,M,F,2021,1,18
35,34.0,29.0,M,F,2021,1,18
30,48.0,42.0,M,F,2021,1,18
55,27.0,20.0,M,F,2021,1,18
55,36.0,39.0,M,F,2021,1,18
55,60.0,54.0,M,F,2021,1,18
30,27.0,27.0,M,F,2021,1,18
37,66.0,47.0,M,F,2021,1,18
42,25.0,25.0,M,F,2021,1,18
