municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
29,27.0,24.0,M,F,2016,6,17
25,21.0,21.0,M,F,2016,5,18
25,19.0,19.0,M,F,2016,5,19
18,33.0,31.0,M,F,2016,5,18
30,19.0,22.0,M,F,2016,8,4
30,75.0,58.0,M,F,2016,8,4
29,22.0,22.0,M,F,2016,5,17
29,20.0,21.0,M,F,2016,5,17
30,36.0,29.0,M,F,2016,5,18
18,30.0,37.0,M,F,2016,6,17
43,23.0,26.0,M,F,2016,5,27
55,49.0,51.0,M,F,2016,8,4
47,18.0,17.0,M,F,2016,6,17
55,38.0,25.0,M,F,2016,6,17
55,22.0,19.0,M,F,2016,8,4
30,40.0,35.0,M,F,2016,8,8
48,39.0,41.0,M,F,2016,6,17
55,40.0,39.0,M,F,2016,5,17
30,27.0,25.0,M,F,2016,5,18
30,24.0,21.0,M,F,2016,6,17
25,32.0,27.0,M,F,2016,8,8
29,31.0,28.0,M,F,2016,5,17
19,31.0,30.0,M,F,2016,6,18
55,21.0,20.0,M,F,2016,8,6
43,52.0,38.0,M,F,2016,8,8
43,38.0,28.0,M,F,2016,5,16
55,40.0,34.0,M,F,2016,5,16
43,25.0,33.0,M,F,2016,6,17
43,43.0,44.0,M,F,2016,6,17
18,51.0,30.0,M,F,2016,6,17
55,45.0,45.0,M,F,2016,5,17
48,74.0,68.0,M,F,2016,6,17
3,29.0,27.0,M,F,2016,8,4
30,21.0,19.0,M,F,2016,6,16
2,18.0,19.0,M,F,2016,5,17
30,25.0,23.0,M,F,2016,10,15
43,20.0,26.0,M,F,2016,6,17
55,43.0,35.0,M,F,2016,6,17
47,43.0,46.0,M,F,2016,6,16
48,29.0,32.0,M,F,2016,6,17
71,38.0,33.0,M,F,2016,6,17
30,37.0,32.0,M,F,2016,6,17
18,25.0,28.0,M,F,2016,6,17
52,24.0,18.0,M,F,2016,6,17
39,31.0,27.0,M,F,2016,8,5
41,26.0,21.0,M,F,2016,6,17
18,30.0,19.0,M,F,2016,5,16
19,27.0,27.0,M,F,2016,5,17
30,25.0,22.0,M,F,2016,6,16
30,35.0,35.0,M,F,2016,6,16
18,52.0,48.0,M,F,2016,8,4
2,47.0,47.0,M,F,2016,5,17
52,21.0,21.0,M,F,2016,6,17
18,25.0,29.0,M,F,2016,6,17
27,23.0,23.0,M,F,2016,6,16
30,35.0,28.0,M,F,2016,6,17
2,39.0,29.0,M,F,2016,8,4
18,23.0,21.0,M,F,2016,6,17
30,31.0,25.0,M,F,2016,6,17
48,35.0,26.0,M,F,2016,6,17
18,40.0,31.0,M,F,2016,6,17
18,37.0,30.0,M,F,2016,6,17
42,26.0,25.0,M,F,2016,6,17
29,33.0,23.0,M,F,2016,6,17
58,21.0,18.0,M,F,2016,6,17
42,67.0,41.0,M,F,2016,6,17
18,26.0,24.0,M,F,2016,5,17
55,70.0,56.0,M,F,2016,6,17
43,31.0,37.0,M,F,2016,5,17
43,43.0,26.0,M,F,2016,8,4
30,36.0,25.0,M,F,2016,6,17
17,37.0,32.0,M,F,2016,8,4
55,29.0,21.0,M,F,2016,8,8
55,31.0,23.0,M,F,2016,6,17
42,33.0,25.0,M,F,2016,6,17
41,39.0,32.0,M,F,2016,5,17
42,27.0,27.0,M,F,2016,8,4
30,39.0,27.0,M,F,2016,6,18
30,37.0,31.0,M,F,2016,5,18
55,62.0,48.0,M,F,2016,8,4
35,21.0,17.0,M,F,2016,6,16
30,42.0,37.0,M,F,2016,8,4
71,28.0,19.0,M,F,2016,6,17
55,19.0,20.0,M,F,2016,5,18
30,30.0,26.0,M,F,2016,8,8
2,25.0,27.0,M,F,2016,8,4
18,27.0,28.0,M,F,2016,8,5
43,23.0,20.0,M,F,2016,8,4
42,37.0,33.0,M,F,2016,8,4
48,32.0,26.0,M,F,2016,8,5
55,27.0,27.0,M,F,2016,8,5
18,30.0,20.0,M,F,2016,5,18
25,34.0,33.0,M,F,2016,6,17
55,23.0,20.0,M,F,2016,8,8
55,28.0,22.0,M,F,2016,8,5
55,25.0,20.0,M,F,2016,6,17
30,22.0,29.0,M,F,2016,8,8
18,61.0,47.0,M,F,2016,5,17
55,81.0,70.0,M,F,2016,8,4
55,27.0,25.0,M,F,2016,8,4
30,22.0,24.0,M,F,2016,5,17
41,28.0,27.0,M,F,2016,8,5
43,25.0,21.0,M,F,2016,8,4
42,31.0,30.0,M,F,2016,5,17
33,26.0,26.0,M,F,2016,5,17
33,34.0,32.0,M,F,2016,6,17
43,36.0,28.0,M,F,2016,8,5
55,34.0,32.0,M,F,2016,8,4
29,23.0,22.0,M,F,2016,11,30
55,27.0,28.0,M,F,2016,8,5
42,23.0,24.0,M,F,2016,6,17
7,42.0,51.0,M,F,2016,2,14
55,40.0,38.0,M,F,2016,6,17
35,18.0,17.0,M,F,2016,8,5
30,29.0,24.0,M,F,2016,5,17
55,24.0,24.0,M,F,2016,5,17
29,29.0,22.0,M,F,2016,8,4
43,41.0,42.0,M,F,2016,8,4
29,42.0,44.0,M,F,2016,8,8
55,55.0,51.0,M,F,2016,5,17
55,28.0,21.0,M,F,2016,8,4
39,40.0,36.0,M,F,2016,8,6
30,35.0,28.0,M,F,2016,5,17
55,24.0,18.0,M,F,2016,5,18
30,24.0,26.0,M,F,2016,8,4
25,26.0,26.0,M,F,2016,6,17
26,51.0,47.0,M,F,2016,6,17
18,42.0,30.0,M,F,2016,5,17
30,35.0,39.0,M,F,2016,6,17
26,23.0,21.0,M,F,2016,6,17
36,31.0,24.0,M,F,2016,6,17
29,34.0,36.0,M,F,2016,6,17
30,25.0,27.0,M,F,2016,6,17
47,29.0,21.0,M,F,2016,6,17
35,51.0,42.0,M,F,2016,6,17
35,26.0,26.0,M,F,2016,5,18
55,54.0,54.0,M,F,2016,8,6
72,63.0,43.0,M,F,2016,8,5
42,48.0,50.0,M,F,2016,5,16
30,27.0,26.0,M,F,2016,5,17
30,30.0,29.0,M,F,2016,5,16
30,44.0,59.0,M,F,2016,8,4
30,34.0,34.0,M,F,2016,5,17
55,22.0,19.0,M,F,2016,5,19
30,35.0,27.0,M,F,2016,2,23
2,45.0,40.0,M,F,2016,5,19
42,25.0,27.0,M,F,2016,8,5
43,23.0,23.0,M,F,2016,5,18
43,23.0,18.0,M,F,2016,8,5
29,54.0,52.0,M,F,2016,5,20
26,36.0,33.0,M,F,2016,2,15
29,21.0,20.0,M,F,2016,1,4
18,25.0,23.0,M,F,2016,1,22
56,23.0,22.0,M,F,2016,2,12
30,32.0,28.0,M,F,2016,2,12
42,28.0,26.0,M,F,2016,2,16
30,48.0,45.0,M,F,2016,2,16
55,25.0,27.0,M,F,2016,2,22
18,34.0,32.0,M,F,2016,2,18
55,60.0,45.0,M,F,2016,1,4
71,51.0,37.0,M,F,2016,1,4
18,47.0,43.0,M,F,2016,1,22
55,21.0,19.0,M,F,2016,2,3
70,32.0,22.0,M,F,2016,2,14
43,44.0,38.0,M,F,2016,5,19
26,31.0,27.0,M,F,2016,2,12
30,24.0,22.0,M,F,2016,2,16
43,37.0,31.0,M,F,2016,2,16
18,29.0,28.0,M,F,2016,2,18
30,40.0,42.0,M,F,2016,2,22
29,22.0,22.0,M,F,2016,2,22
30,31.0,27.0,M,F,2016,2,26
30,40.0,41.0,M,F,2016,2,27
55,25.0,23.0,M,F,2016,2,5
29,29.0,28.0,M,F,2016,1,29
42,30.0,25.0,M,F,2016,2,15
