municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
30,28.0,27.0,M,F,2019,7,5
55,27.0,33.0,M,F,2019,7,5
30,57.0,53.0,M,F,2019,7,5
43,24.0,23.0,M,F,2019,7,5
29,24.0,22.0,M,F,2019,6,14
33,35.0,31.0,M,F,2019,6,14
55,21.0,19.0,M,F,2019,9,12
35,55.0,57.0,M,F,2019,9,12
43,40.0,31.0,M,F,2019,9,12
55,24.0,26.0,M,F,2019,9,12
33,31.0,31.0,M,F,2019,6,28
29,60.0,54.0,M,F,2019,7,25
27,33.0,26.0,M,F,2019,8,12
21,23.0,21.0,M,F,2019,8,16
30,68.0,58.0,M,F,2019,8,30
64,27.0,24.0,M,F,2019,9,1
29,24.0,24.0,M,F,2019,9,1
12,24.0,23.0,M,F,2019,11,22
55,27.0,27.0,M,F,2019,11,22
29,56.0,40.0,M,F,2019,11,22
42,23.0,26.0,M,F,2019,11,22
29,27.0,24.0,M,F,2019,11,22
33,29.0,27.0,M,F,2019,11,22
30,31.0,29.0,M,F,2019,11,22
18,26.0,28.0,M,F,2019,11,22
25,24.0,23.0,M,F,2019,7,26
61,57.0,60.0,M,F,2019,9,15
16,32.0,25.0,M,F,2019,9,17
56,26.0,36.0,M,F,2019,9,23
30,18.0,18.0,M,F,2019,9,25
30,23.0,21.0,M,F,2019,9,25
30,25.0,23.0,M,F,2019,9,25
55,22.0,24.0,M,F,2019,11,5
30,59.0,37.0,M,F,2019,11,5
30,23.0,21.0,M,F,2019,11,5
30,36.0,35.0,M,F,2019,11,5
30,30.0,27.0,M,F,2019,11,5
55,21.0,19.0,M,F,2019,6,26
18,28.0,30.0,M,F,2019,6,27
30,51.0,28.0,M,F,2019,6,26
52,29.0,32.0,M,F,2019,11,1
43,38.0,29.0,M,F,2019,11,1
47,38.0,27.0,M,F,2019,11,1
42,30.0,23.0,M,F,2019,11,24
18,29.0,30.0,M,F,2019,11,22
55,37.0,36.0,M,F,2019,11,22
17,26.0,26.0,M,F,2019,11,22
18,30.0,24.0,M,F,2019,11,22
18,32.0,25.0,M,F,2019,9,6
47,18.0,19.0,M,F,2019,9,6
29,34.0,28.0,M,F,2019,9,6
21,25.0,19.0,M,F,2019,10,2
29,30.0,29.0,M,F,2019,10,3
29,27.0,26.0,M,F,2019,10,3
30,21.0,29.0,M,F,2019,6,18
2,40.0,34.0,M,F,2019,6,18
55,38.0,38.0,M,F,2019,6,18
41,18.0,18.0,M,F,2019,6,18
66,26.0,22.0,M,F,2019,8,8
35,39.0,40.0,M,F,2019,8,8
19,50.0,50.0,M,F,2019,8,9
30,33.0,46.0,M,F,2019,6,18
48,27.0,27.0,M,F,2019,6,18
47,19.0,18.0,M,F,2019,6,18
30,40.0,27.0,M,F,2019,6,27
30,29.0,25.0,M,F,2019,8,30
18,25.0,41.0,M,F,2019,8,30
35,33.0,41.0,M,F,2019,9,2
55,33.0,27.0,M,F,2019,8,12
30,37.0,32.0,M,F,2019,8,12
26,29.0,29.0,M,F,2019,8,12
55,34.0,28.0,M,F,2019,10,23
29,29.0,29.0,M,F,2019,10,24
42,65.0,50.0,M,F,2019,10,24
55,45.0,38.0,M,F,2019,10,31
30,39.0,27.0,M,F,2019,12,28
3,28.0,22.0,M,F,2019,12,28
14,24.0,21.0,M,F,2019,12,28
20,32.0,28.0,M,F,2019,12,28
27,29.0,21.0,M,F,2019,12,28
55,33.0,30.0,M,F,2019,12,28
29,31.0,28.0,M,F,2019,7,5
12,29.0,28.0,M,F,2019,8,16
18,48.0,45.0,M,F,2019,8,16
29,42.0,23.0,M,F,2019,8,16
30,35.0,36.0,M,F,2019,8,16
41,24.0,23.0,M,F,2019,8,16
30,53.0,47.0,M,F,2019,8,17
36,28.0,28.0,M,F,2019,8,16
