municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
42,23.0,19.0,M,F,2018,2,24
33,19.0,20.0,M,F,2018,3,12
42,40.0,35.0,M,F,2018,2,27
19,31.0,41.0,M,F,2018,2,14
72,49.0,46.0,M,F,2018,2,14
23,54.0,42.0,M,F,2018,2,14
18,31.0,32.0,M,F,2018,2,13
18,63.0,56.0,M,F,2018,2,14
18,37.0,35.0,M,F,2018,2,14
61,28.0,24.0,M,F,2018,4,7
18,25.0,24.0,M,F,2018,4,9
47,35.0,32.0,M,F,2018,4,9
55,27.0,24.0,M,F,2018,4,9
30,32.0,28.0,M,F,2018,4,9
55,41.0,32.0,M,F,2018,4,9
30,30.0,29.0,M,F,2018,10,11
30,27.0,27.0,M,F,2018,10,15
30,42.0,32.0,M,F,2018,10,26
2,31.0,24.0,M,F,2018,11,1
18,34.0,30.0,M,F,2018,11,3
27,32.0,26.0,M,F,2018,11,2
17,29.0,27.0,M,F,2018,11,3
18,31.0,31.0,M,F,2018,11,3
55,27.0,27.0,M,F,2018,8,3
43,28.0,26.0,M,F,2018,8,3
29,40.0,31.0,M,F,2018,8,3
35,48.0,39.0,M,F,2018,8,3
29,52.0,30.0,M,F,2018,8,3
18,35.0,23.0,M,F,2018,8,3
43,44.0,30.0,M,F,2018,5,23
55,34.0,31.0,M,F,2018,5,23
55,47.0,47.0,M,F,2018,5,23
30,32.0,33.0,M,F,2018,5,24
17,26.0,25.0,M,F,2018,5,25
43,24.0,24.0,M,F,2018,5,25
30,22.0,19.0,M,F,2018,5,7
48,33.0,25.0,M,F,2018,5,22
55,18.0,17.0,M,F,2018,5,22
30,22.0,28.0,M,F,2018,6,12
30,27.0,26.0,M,F,2018,6,12
43,37.0,37.0,M,F,2018,3,23
55,35.0,30.0,M,F,2018,3,23
30,31.0,24.0,M,F,2018,3,23
2,35.0,43.0,M,F,2018,4,26
30,26.0,21.0,M,F,2018,6,5
18,33.0,29.0,M,F,2018,6,16
18,50.0,50.0,M,F,2018,6,29
3,30.0,35.0,M,F,2018,6,30
63,62.0,33.0,M,F,2018,6,30
48,33.0,33.0,M,F,2018,9,21
35,22.0,21.0,M,F,2018,11,15
18,27.0,24.0,M,F,2018,11,15
43,27.0,26.0,M,F,2018,11,15
30,46.0,22.0,M,F,2018,11,15
17,26.0,26.0,M,F,2018,11,15
35,36.0,38.0,M,F,2018,8,14
30,30.0,41.0,M,F,2018,8,23
55,40.0,41.0,M,F,2018,1,11
35,53.0,52.0,M,F,2018,1,11
42,34.0,34.0,M,F,2018,1,11
30,30.0,22.0,M,F,2018,4,7
55,28.0,24.0,M,F,2018,4,6
18,33.0,22.0,M,F,2018,4,9
19,66.0,43.0,M,F,2018,4,10
43,21.0,20.0,M,F,2018,4,9
55,61.0,50.0,M,F,2018,4,9
10,29.0,25.0,M,F,2018,9,19
58,38.0,48.0,M,F,2018,8,17
5,24.0,27.0,M,F,2018,8,17
30,31.0,32.0,M,F,2018,8,17
26,52.0,35.0,M,F,2018,8,17
29,44.0,45.0,M,F,2018,8,17
55,20.0,19.0,M,F,2018,9,13
55,22.0,27.0,M,F,2018,11,14
