municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
30,32.0,32.0,M,F,2022,1,3
30,,,M,F,2022,1,5
29,64.0,60.0,M,F,2022,1,24
42,32.0,38.0,M,F,2022,1,25
2,,,,,2022,1,26
55,49.0,39.0,M,F,2022,2,2
30,65.0,59.0,M,F,2022,2,3
29,79.0,78.0,M,F,2022,2,8
30,51.0,,M,F,2022,2,8
36,,,M,F,2022,2,10
30,22.0,20.0,M,F,2022,2,14
30,58.0,49.0,M,F,2022,2,14
30,36.0,32.0,M,F,2022,2,16
30,35.0,33.0,F,F,2022,2,18
27,20.0,18.0,M,F,2022,1,1
62,30.0,33.0,M,F,2022,1,1
66,,,M,F,2022,1,2
20,31.0,29.0,M,F,2022,1,2
55,44.0,47.0,M,F,2022,1,3
30,20.0,19.0,M,F,2022,1,3
35,62.0,60.0,M,F,2022,1,3
55,30.0,23.0,M,F,2022,1,3
30,50.0,44.0,M,F,2022,1,3
29,32.0,32.0,M,F,2022,1,3
18,39.0,35.0,M,F,2022,1,3
30,25.0,25.0,M,F,2022,1,3
18,24.0,24.0,M,F,2022,1,3
41,36.0,34.0,M,F,2022,1,3
42,35.0,24.0,M,F,2022,1,3
30,26.0,32.0,M,F,2022,1,3
30,21.0,22.0,M,F,2022,1,3
55,29.0,28.0,M,F,2022,1,3
46,23.0,19.0,M,F,2022,1,3
42,28.0,25.0,M,F,2022,1,3
27,21.0,20.0,M,F,2022,1,3
33,34.0,32.0,M,F,2022,1,2
55,33.0,32.0,M,F,2022,1,4
30,45.0,44.0,M,F,2022,1,4
55,22.0,23.0,M,F,2022,1,4
30,59.0,56.0,M,F,2022,1,4
72,61.0,59.0,M,F,2022,1,4
26,31.0,27.0,M,F,2022,1,4
65,23.0,21.0,F,M,2022,1,4
18,39.0,39.0,M,F,2022,1,4
30,29.0,26.0,M,F,2022,1,6
18,32.0,26.0,M,F,2022,1,4
47,77.0,44.0,M,F,2022,1,4
55,64.0,48.0,M,F,2022,1,4
26,25.0,23.0,M,F,2022,1,4
35,32.0,32.0,M,F,2022,1,4
30,27.0,26.0,M,F,2022,1,4
25,25.0,22.0,M,F,2022,1,4
35,37.0,33.0,M,F,2022,1,4
29,27.0,27.0,M,F,2022,1,4
42,49.0,36.0,M,F,2022,1,4
42,34.0,33.0,M,F,2022,1,4
30,30.0,27.0,M,F,2022,1,4
55,40.0,26.0,M,F,2022,1,4
30,28.0,23.0,M,F,2022,1,5
30,33.0,29.0,M,F,2022,1,5
18,37.0,34.0,M,F,2022,1,5
55,55.0,41.0,M,F,2022,1,5
