municipio,edad_cty1,edad_cty2,sexo_cty1,sexo_cty2,año_matrimonio,mes_matrimonio,dia_matrimonio
42,29.0,29.0,M,F,2015,9,18
30,24.0,21.0,M,F,2015,9,10
18,27.0,29.0,M,F,2015,9,4
18,32.0,43.0,M,F,2015,9,18
18,25.0,23.0,M,F,2015,10,25
17,60.0,45.0,M,F,2015,8,27
18,19.0,19.0,M,F,2015,9,11
30,29.0,34.0,M,F,2015,10,16
18,32.0,31.0,M,F,2015,10,15
18,31.0,31.0,M,F,2015,10,16
18,25.0,20.0,M,F,2015,9,18
25,29.0,23.0,M,F,2015,10,2
2,19.0,17.0,M,F,2015,10,2
30,37.0,30.0,M,F,2015,10,3
30,28.0,26.0,M,F,2015,10,2
30,30.0,31.0,M,F,2015,9,19
4,26.0,29.0,M,F,2015,10,3
35,24.0,23.0,M,F,2015,8,28
30,37.0,29.0,M,F,2015,8,28
30,26.0,22.0,M,F,2015,8,27
18,27.0,24.0,M,F,2015,10,16
43,20.0,20.0,M,F,2015,10,15
42,44.0,42.0,M,F,2015,10,2
2,25.0,22.0,M,F,2015,9,22
30,25.0,23.0,M,F,2015,9,11
18,29.0,23.0,M,F,2015,9,11
30,40.0,31.0,M,F,2015,8,28
55,25.0,23.0,M,F,2015,10,22
30,28.0,22.0,M,F,2015,9,14
29,21.0,18.0,M,F,2015,8,28
30,33.0,26.0,M,F,2015,9,9
30,27.0,20.0,M,F,2015,10,5
43,26.0,31.0,M,F,2015,10,7
42,23.0,24.0,M,F,2015,10,7
30,22.0,22.0,M,F,2015,9,10
43,40.0,30.0,M,F,2015,10,9
18,46.0,26.0,M,F,2015,9,11
25,25.0,29.0,M,F,2015,9,18
33,22.0,21.0,M,F,2015,9,4
18,36.0,40.0,M,F,2015,6,5
55,37.0,43.0,M,F,2015,9,28
30,27.0,23.0,M,F,2015,9,28
18,26.0,26.0,M,F,2015,10,23
55,24.0,21.0,M,F,2015,9,3
30,28.0,31.0,M,F,2015,10,1
30,51.0,44.0,M,F,2015,6,11
18,42.0,47.0,M,F,2015,10,22
30,28.0,23.0,M,F,2015,10,1
55,23.0,25.0,M,F,2015,10,21
66,76.0,65.0,M,F,2015,9,28
55,28.0,21.0,M,F,2015,9,2
2,37.0,47.0,M,F,2015,9,22
18,30.0,29.0,M,F,2015,9,22
18,24.0,20.0,M,F,2015,9,23
35,18.0,19.0,M,F,2015,9,29
30,35.0,38.0,M,F,2015,9,29
